Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Mean
1871;96;0;0;136;126;730;711;230;763;0;44;0;236.3333333333
1872;0;0;0;472;0;1810;3446;2328;3233;449;0;191;994.0833333333
1873;86;46;0;324;617;1064;1026;2698;3092;0;115;0;755.6666666667
1874;0;0;0;0;86;1059;4033;557;2283;111;0;0;677.4166666667
1875;0;0;0;27;283;1856;2001;2206;4062;550;0;260;937.0833333333
1876;22;0;0;0;48;1125;1506;1525;632;71;0;0;410.75
1877;158;10;0;66;93;1065;650;935;1816;789;186;302;505.8333333333
1878;0;0;118;230;40;935;2503;3347;2086;1050;8;0;859.75
1879;0;13;0;0;499;1820;1995;3036;826;764;60;0;751.0833333333
1880;0;0;49;2;191;1738;1433;564;3331;873;394;0;714.5833333333
1881;0;4;79;78;307;1576;1218;1458;1761;609;530;10;635.8333333333
1882;40;0;0;12;81;2892;2458;914;2797;177;419;8;816.5
1883;0;0;41;0;96;2820;1031;3582;3221;844;43;0;973.1666666667
1884;25;0;0;101;0;725;2015;1059;2510;800;0;855;674.1666666667
1885;0;0;70;200;325;562;1188;926;2381;698;175;464;582.4166666667
1886;0;0;3;12;629;2155;2585;1988;980;2205;59;587;933.5833333333
1887;0;0;0;96;442;1270;2058;2768;1936;625;251;10;788
1888;267;80;40;27;86;1713;1763;659;1099;392;924;60;592.5
1889;0;0;20;126;34;1280;2788;1516;2438;1718;0;0;826.6666666667
1890;0;0;63;74;41;2168;2258;1411;1621;360;654;347;749.75
1891;48;192;39;110;22;709;1556;1633;2241;266;0;0;568
1892;0;0;0;60;260;2321;1696;4931;4053;1585;98;1;1250.4166666667
1893;22;78;921;6;805;1963;1184;3457;2692;1466;400;0;1082.8333333333
1894;1;27;66;69;55;1101;1320;1861;4877;462;44;0;823.5833333333
1895;20;83;6;192;81;1590;1876;1281;3667;965;167;0;827.3333333333
1896;0;0;1;15;51;1666;2233;1266;291;5;190;59;481.4166666667
1897;12;0;6;86;10;1068;1750;1318;3138;587;0;0;664.5833333333
1898;0;74;0;115;161;888;2568;405;2208;140;93;0;554.3333333333
1899;0;0;1;374;143;883;226;572;1348;0;0;0;295.5833333333
1900;6;0;81;70;1;1516;2288;1266;1244;65;5;0;545.1666666667
1901;197;32;335;617;422;2001;1828;2430;750;799;0;0;784.25
1902;13;0;5;93;8;512;1078;835;2905;640;799;585;622.75
1903;20;5;0;12;602;990;2617;2740;1840;1136;3;58;835.25
1904;0;6;130;2;65;775;1199;595;3502;720;0;0;582.8333333333
1905;13;20;0;88;48;865;903;1245;1530;167;10;0;407.4166666667
1906;241;0;0;0;1;2233;2645;1675;814;216;37;126;665.6666666667
1907;8;55;8;678;0;920;2008;1575;345;55;0;29;473.4166666667
1908;0;5;135;27;20;948;1240;1670;2685;5;0;0;561.25
1909;63;12;101;39;252;2273;2056;1740;2401;227;0;183;778.9166666667
1910;0;0;12;0;39;1938;1623;1875;4415;577;405;0;907
1911;64;0;0;0;35;923;2441;1728;730;2;439;0;530.1666666667
1912;0;115;0;75;86;663;1821;1450;312;267;162;0;412.5833333333
1913;0;32;0;232;395;1795;2408;770;680;197;0;161;555.8333333333
1914;0;88;63;8;177;3161;1766;1621;2486;207;188;255;835
1915;278;29;580;192;115;2166;1475;889;2923;1038;123;263;839.25
1916;0;39;30;17;512;1540;3685;1488;3126;1065;424;0;993.8333333333
1917;15;532;113;81;161;1783;1391;2595;3328;1086;409;0;957.8333333333
1918;4;0;1;8;1276;829;658;786;920;53;103;188;402.1666666667
1919;121;10;2;50;111;1598;1246;943;2278;260;191;11;568.4166666667
1920;272;0;2;30;24;625;570;809;1170;48;0;0;295.8333333333
1921;20;0;0;25;0;1431;1776;688;1148;322;80;0;457.5
1922;522;20;0;32;202;2116;1233;330;2088;465;1164;15;682.25
1923;30;3;552;100;8;182;2837;721;2973;1;0;6;617.75
1924;27;0;59;88;0;492;1295;1870;2043;602;81;126;556.9166666667
1925;0;0;0;0;303;1195;789;1783;765;387;759;0;498.4166666667
1926;724;0;0;17;168;820;1250;2658;1636;0;88;17;614.8333333333
1927;0;22;128;80;0;1823;1490;690;1755;382;1256;4;635.8333333333
1928;0;290;66;25;0;1600;1508;1386;2772;649;0;16;692.6666666667
1929;0;322;8;257;20;1693;1025;480;1683;564;0;40;507.6666666667
1930;0;6;22;101;50;1336;525;794;2841;597;177;2;537.5833333333
1931;0;0;55;55;50;1208;2712;1174;2371;2008;828;167;885.6666666667
1932;0;27;95;93;237;1085;2546;1668;1701;639;313;78;706.8333333333
1933;58;59;121;150;780;1910;1873;1798;3183;327;153;283;891.25
1934;45;0;0;121;13;981;2401;3088;1751;162;830;0;782.6666666667
1935;81;0;0;128;4;2118;1793;1911;2433;926;48;15;788.0833333333
1936;3;292;58;95;296;1093;846;1058;1366;45;1550;30;561
1937;0;131;79;424;17;788;2406;286;1626;1245;3;218;601.9166666667
1938;0;25;202;98;303;2286;3032;1481;2720;815;2;5;914.0833333333
1939;1;0;15;130;2;958;1761;1771;632;136;215;8;469.0833333333
1940;0;8;0;118;141;1973;1756;2131;1333;587;315;20;698.5
1941;130;91;20;8;0;367;1045;1243;2118;155;0;0;431.4166666667
1942;0;155;0;93;50;2421;1718;2720;1169;50;0;904;773.3333333333
1943;106;3;20;2;479;1835;1253;567;3218;1833;12;0;777.3333333333
1944;6;100;365;0;59;891;2190;1121;1553;934;121;0;611.6666666667
1945;25;0;0;80;6;1211;1215;1383;1728;369;12;0;502.4166666667
1946;0;86;0;236;212;1711;1533;1075;1818;85;1019;168;661.9166666667
1947;367;202;106;182;37;779;1471;2925;2406;96;29;113;726.0833333333
1948;98;29;56;50;25;2056;2273;1133;1655;228;1428;0;752.5833333333
1949;44;6;0;15;460;1960;2095;919;3905;357;46;0;817.25
1950;0;118;85;4;121;680;1370;1181;3063;502;0;20;595.3333333333
1951;5;0;25;91;171;1368;2553;1105;663;1054;25;0;588.3333333333
1952;0;175;0;48;390;1368;1698;951;1485;577;0;25;559.75
1953;0;0;0;273;0;2141;2296;1355;2562;808;0;0;786.25
1954;0;0;145;130;75;2013;3120;1065;2831;167;0;110;804.6666666667
1955;66;0;49;37;158;2343;2178;3588;1968;1179;20;0;965.5
1956;11;0;0;32;964;919;2741;1670;2053;605;751;0;812.1666666667
1957;0;0;150;191;360;1051;2271;2827;805;790;27;0;706
1958;0;0;70;207;202;685;3128;3942;895;290;592;0;834.25
1959;30;0;4;143;185;2130;2128;1963;3006;1616;123;0;944
1960;12;0;197;20;769;1214;1596;763;2326;676;210;5;649
1961;0;4;118;113;785;1686;2893;1788;950;2671;148;20;931.3333333333
1962;8;0;86;517;534;845;1401;2293;2881;377;424;552;826.5
1963;0;55;75;136;85;2106;1803;4276;850;930;6;0;860.1666666667
1964;0;0;121;76;18;1004;2116;1600;2200;197;53;0;615.4166666667
1965;20;8;3;123;16;1241;2535;2068;729;78;3;186;584.1666666667
1966;187;0;75;32;295;683;2363;854;1973;74;592;301;619.0833333333
1967;13;20;53;35;182;1223;2493;1150;1363;422;35;885;656.1666666667
1968;91;350;435;225;0;810;2278;625;2093;370;288;6;630.9166666667
1969;0;0;2;4;55;1298;2021;1598;2356;203;320;2;654.9166666667
1970;111;0;0;173;262;2173;1165;3907;1898;387;0;0;839.6666666667
1971;8;0;0;0;325;868;267;2013;1613;1476;0;0;547.5
1972;0;0;0;2;56;1049;535;855;744;3;365;0;300.75
1973;0;15;2;83;8;921;1960;3595;1396;1230;3;0;767.75
1974;0;3;24;63;754;1116;1330;1611;1521;1680;0;0;675.1666666667
1975;20;78;93;0;101;1295;2241;2301;3328;1391;1;0;904.0833333333
1976;0;0;27;96;43;1150;2013;2066;560;55;334;0;528.6666666667
1977;0;71;40;27;111;1163;1386;1313;1345;685;1175;8;610.3333333333
1978;158;217;126;81;197;2308;1941;1200;849;715;337;27;679.6666666667
1979;15;138;80;22;141;1413;1933;1571;2666;316;1094;17;783.8333333333
1980;0;0;53;101;12;2063;1179;3098;1134;0;30;178;654
1981;370;3;233;29;187;1218;1585;1538;3225;693;96;177;779.5
1982;272;6;437;160;412;729;2493;1005;1928;345;300;0;673.9166666667
1983;0;0;35;0;146;1085;1946;3035;4473;1105;1;91;993.0833333333
1984;20;302;0;1;0;397;1190;761;1315;1264;25;4;439.9166666667
1985;123;0;88;88;121;1185;2115;562;1035;784;1;24;510.5
1986;128;66;1;0;55;1381;1193;1171;1396;45;105;306;487.25
1987;136;93;27;3;312;1518;1306;2133;405;1531;387;74;660.4166666667
1988;0;0;5;91;91;1881;2942;3230;4522;98;86;30;1081.3333333333
1989;0;0;460;40;81;2061;4267;2546;1665;217;8;91;953
1990;20;0;0;0;1576;2221;1276;4071;1583;2293;32;0;1089.3333333333
1991;17;15;10;70;70;2308;2066;360;442;53;116;0;460.5833333333
1992;0;0;0;49;81;2093;661;1838;1565;557;349;0;599.4166666667
1993;0;22;78;75;115;923;2368;1223;1475;1861;90;311;711.75
1994;73;6;0;105;218;1248;855;1413;1269;809;325;0;526.75
1995;400;22;190;68;182;1260;1603;1606;1269;1150;5;0;646.25
1996;1;6;3;143;29;367;2178;2013;3242;1435;27;5;787.4166666667
1997;93;0;73;101;96;833;1495;1226;1523;945;632;472;624.0833333333
1998;0;0;13;34;262;1868;2253;2937;2825;2246;402;0;1070
1999;0;131;0;0;342;1825;1133;1403;2752;1093;0;0;723.25
2000;1;192;6;11;472;1921;1511;3613;649;447;50;10;740.25
2001;30;0;5;88;4;1316;522;2781;840;1803;0;0;615.75
2002;113;156;3;93;282;2657;719;2176;1408;517;4;0;677.3333333333
2003;0;18;12;17;0;450;3837;1343;495;75;499;0;562.1666666667
2004;55;6;0;111;615;733;1720;617;2268;537;332;0;582.8333333333
2005;205;13;132;59;47;792;5184;1236;2515;1170;0;0;946.0833333333
2006;0;0;319;14;949;1487;1370;3618;2551;640;86;0;919.5
2007;0;0;6;108;10;1689;2731;1964;1755;0;124;0;698.9166666667
2008;37;0;204;98;2;1112;933;1063;2730;287;109;25;550
2009;0;0;2;11;170;575;1440;1455;1770;561;707;88;564.9166666667
2010;169;94;89;8;32;1150;3105;2545;1846;573;417;14;836.8333333333
2011;0;75;7;171;110;682;2375;2073;1110;211;0;0;567.8333333333
