Year,Jun,Jul,Aug,Sep,Mean,Sum,Difference,Total,Root_Total
1871,1083,1035,689,1286,1023.25,4093,651.1276595745,2167864.22695035,1472.366879195
1872,811,1313,856,1143,1030.75,4123,8318.3617021277,,
1873,773,960,1316,953,1000.5,4002,12451.2411347518,,
1874,1433,1706,1011,2158,1577,6308,878.7517730496,,
1875,1166,1163,665,569,890.75,3563,76.7092198582,,
1876,695,1433,1003,492,905.75,3623,28425.5602836879,,
1877,1428,452,951,1778,1152.25,4609,5442.3829787234,,
1878,890,1241,2086,1485,1425.5,5702,21695.0425531915,,
1879,1080,1873,1269,741,1240.75,4963,4194.0496453901,,
1880,1279,1395,1225,814,1178.25,4713,1600.1773049645,,
1881,502,686,1496,1176,965,3860,13079.1773049645,,
1882,1428,3208,1466,1246,1837,7348,30624.7092198582,,
1883,736,1910,2335,385,1341.5,5366,1910.3617021277,,
1884,708,710,1383,698,874.75,3499,2587.3475177305,,
1885,1193,968,795,1430,1096.5,4386,278.0425531915,,
1886,1169,1808,1333,1750,1515,6060,30008.8581560284,,
1887,1296,1321,963,1063,1160.75,4643,4482.4468085106,,
1888,935,1620,925,1495,1243.75,4975,2788.1489361702,,
1889,1155,1583,1651,3142,1882.75,7531,37844.6808510638,,
1890,715,1491,1058,935,1049.75,4199,1560.0070921986,,
1891,1165,1525,810,312,953,3812,21079.2624113475,,
1892,1446,1870,1583,758,1414.25,5657,1695.8936170213,,
1893,1661,1543,813,710,1181.75,4727,8785.5957446809,,
1894,740,1045,1285,490,890,3560,50749.1134751773,,
1895,1436,1296,1190,1565,1371.75,5487,23.0425531915,,
1896,1893,1975,1453,1258,1644.75,6579,25927.2624113475,,
1897,1431,1530,1911,2890,1940.5,7762,51893.7943262411,,
1898,1074,1270,795,2676,1453.75,5815,25013.3617021277,,
1899,1024,390,645,2086,1036.25,4145,12059.6879432624,,
1900,1321,1741,1431,1298,1447.75,5791,17660.170212766,,
1901,816,1311,760,1621,1127,4508,1.8156028369,,
1902,775,1426,688,1161,1012.5,4050,38074.390070922,,
1903,1170,1928,1386,2388,1718,6872,27608.0070921986,,
1904,1098,1625,517,873,1028.25,4113,1640.8581560284,,
1905,795,993,1313,402,875.75,3503,93659.2624113475,,
1906,1060,1675,2738,1170,1660.75,6643,48758.0425531915,,
1907,1090,1771,1473,1441,1443.75,5775,981.4468085106,,
1908,665,1606,876,865,1003,4012,1317.4539007092,,
1909,985,1486,1928,1033,1358,5432,286.5319148936,,
1910,890,2051,2153,1151,1561.25,6245,25900.1489361702,,
1911,1280,1666,615,567,1032,4128,343.2624113475,,
1912,1063,1956,1321,1863,1550.75,6203,5257.5957446809,,
1913,803,1836,572,1616,1206.75,4827,677.170212766,,
1914,482,1858,1171,1080,1147.75,4591,5885.9645390071,,
1915,1933,1403,584,1658,1394.5,5578,763.0070921986,,
1916,1168,1773,1650,1373,1491,5964,306.8368794326,,
1917,1045,693,1558,2393,1422.25,5689,45253.0212765957,,
1918,395,427,694,1124,660,2640,41775.3829787234,,
1919,1236,1303,789,2181,1377.25,5509,2.8368794326,,
1920,948,1355,906,1425,1158.5,4634,19331.9219858156,,
1921,830,1571,1216,685,1075.5,4302,13683.1276595745,,
1922,826,1270,910,507,878.25,3513,33304.1773049645,,
1923,570,2587,1199,955,1327.75,5311,17061,,
1924,905,2710,1205,1371,1547.75,6191,283.6879432624,,
1925,829,1448,1010,1195,1120.5,4482,1851.9219858156,,
1926,780,1791,1134,1391,1274,5096,7670.9219858156,,
1927,856,1671,759,1575,1215.25,4861,3475.1773049645,,
1928,976,1336,1336,369,1004.25,4017,2068.085106383,,
1929,1070,1195,637,1706,1152,4608,30860.9645390071,,
1930,844,733,612,1601,947.5,3790,37485.1134751773,,
1931,876,1113,1476,1741,1301.5,5206,15159.1773049645,,
1932,530,1591,2188,1018,1331.75,5327,1494.1914893617,,
1933,865,1711,2471,1613,1665,6660,4194.0496453901,,
1934,1060,1054,1011,334,864.75,3459,24142.0212765957,,
1935,1331,1341,1913,1040,1406.25,5625,9891.9219858156,,
1936,1495,1235,924,1831,1371.25,5485,10383.6879432624,,
1937,617,1571,650,1115,988.25,3953,30242.7304964539,,
1938,806,1079,2201,1646,1433,5732,5989.7943262411,,
1939,639,1206,1463,930,1059.5,4238,46515.7517730497,,
1940,1470,1360,1218,1170,1304.5,5218,5124.1134751773,,
1941,1283,1255,1376,1356,1317.5,5270,540.2553191489,,
1942,1273,1568,1231,775,1211.75,4847,5380.4326241135,,
1943,630,1505,545,1423,1025.75,4103,10782.1914893617,,
1944,895,1766,632,1291,1146,4584,22143.8936170213,,
1945,517,1958,789,739,1000.75,4003,9136.3475177305,,
1946,828,1199,1795,1616,1359.5,5438,27189.8156028369,,
1947,930,1521,1936,1215,1400.5,5602,10642.7304964539,,
1948,1251,1215,2150,605,1305.25,5221,7744.8581560284,,
1949,750,1596,1306,1016,1167,4668,12133.7872340426,,
1950,664,1906,1490,1476,1384,5536,5318.8368794326,,
1951,818,1783,602,1965,1292,5168,1174.8156028369,,
1952,540,1274,1190,610,903.5,3614,8785.5957446809,,
1953,1216,2745,983,1291,1558.75,6235,50749.1134751773,,
1954,1000,2193,1833,404,1357.5,5430,23.0425531915,,
1955,908,663,1158,1938,1166.75,4667,25927.2624113475,,
1956,1341,1571,810,1335,1264.25,5057,51893.7943262411,,
1957,1346,1298,818,475,984.25,3937,25013.3617021277,,
1958,1063,1435,1655,1296,1362.25,5449,12059.6879432624,,
1959,1918,2348,1200,1903,1842.25,7369,17660.170212766,,
1960,674,1546,694,1610,1131,4524,1.8156028369,,
1961,1391,3147,1224,605,1591.75,6367,38074.390070922,,
1962,487,1503,1428,1481,1224.75,4899,27608.0070921986,,
1963,700,1206,1613,1075,1148.5,4594,1640.8581560284,,
1964,950,2225,2066,1896,1784.25,7137,93659.2624113475,,
1965,713,1173,1326,809,1005.25,4021,48758.0425531915,,
1966,719,1521,763,2400,1350.75,5403,981.4468085106,,
1967,1051,2161,849,382,1110.75,4443,1317.4539007092,,
1968,935,1395,630,2271,1307.75,5231,286.5319148936,,
1969,599,1463,1606,666,1083.5,4334,25900.1489361702,,
1970,710,1071,1106,1021,977,3908,343.2624113475,,
1971,1119,759,1726,1738,1335.5,5342,5257.5957446809,,
1972,1029,1180,569,1740,1129.5,4518,677.170212766,,
1973,1223,1508,1716,1055,1375.5,5502,5885.9645390071,,
1974,349,1726,904,2271,1312.5,5250,763.0070921986,,
1975,1239,1711,1551,1671,1543,6172,306.8368794326,,
1976,547,980,1056,580,790.75,3163,45253.0212765957,,
1977,1150,1255,1261,1401,1266.75,5067,41775.3829787234,,
1978,1005,1691,1288,1545,1382.25,5529,2.8368794326,,
1979,1543,1053,1481,2208,1571.25,6285,19331.9219858156,,
1980,1128,1735,820,2008,1422.75,5691,13683.1276595745,,
1981,660,988,1801,2231,1420,5680,33304.1773049645,,
1982,885,830,1044,1001,940,3760,17061,,
1983,1673,1216,1636,1466,1497.75,5991,283.6879432624,,
1984,840,1698,754,1701,1248.25,4993,1851.9219858156,,
1985,983,743,1004,1326,1014,4056,7670.9219858156,,
1986,1258,759,1341,2203,1390.25,5561,3475.1773049645,,
1987,1105,715,1371,1366,1139.25,4557,2068.085106383,,
1988,462,2021,2196,2015,1673.5,6694,30860.9645390071,,
1989,1055,2440,968,1626,1522.25,6089,37485.1134751773,,
1990,795,944,1366,639,936,3744,15159.1773049645,,
1991,1855,1416,1164,1351,1446.5,5786,1494.1914893617,,
1992,1911,1094,1393,1493,1472.75,5891,4194.0496453901,,
1993,1483,1328,1140,1353,1326,5304,24142.0212765957,,
1994,1233,1936,445,830,1111,4444,9891.9219858156,,
1995,622,1165,1298,1190,1068.75,4275,10383.6879432624,,
1996,1079,770,1993,2176,1504.5,6018,30242.7304964539,,
1997,1185,938,1245,1445,1203.25,4813,5989.7943262411,,
1998,735,1908,2323,1833,1699.75,6799,46515.7517730497,,
1999,815,1411,739,1403,1092,4368,5124.1134751773,,
2000,811,866,1901,1416,1248.5,4994,540.2553191489,,
2001,497,1011,818,1650,994,3976,5380.4326241135,,
2002,1076,365,733,696,717.5,2870,10782.1914893617,,
2003,639,855,1055,268,704.25,2817,22143.8936170213,,
2004,1333,1591,1066,1148,1284.5,5138,9136.3475177305,,
2005,1319,3023,2031,1023,1849,7396,27189.8156028369,,
2006,2109,809,839,620,1094.25,4377,10642.7304964539,,
2007,1667,1536,1767,1296,1566.5,6266,7744.8581560284,,
2008,819,1710,2561,886,1494,5976,12133.7872340426,,
2009,723,2110,1165,2404,1600.5,6402,5318.8368794326,,
2010,986,1438,1691,1460,1393.75,5575,1174.8156028369,,
2011,1164,1292,1411,945,1203,4812,10178.7517730496,,
