Year,annual_Mean_coastalap,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1942,609.75,489.7868830309,578.9829938902,-186.540930721,-602.0091124828,260.6922814428,-359.2017051692,-81.0086110823,-48.5798629251,363.1857261938,191.2426607375,-580.5148953005,-96.8508698347,-551.211934646,492.7161429297,-604.344824939,607.8116973358
1943,838.6666666667,251.6426141097,676.1678971027,-85.0469734267,-797.0072942414,450.712411126,-562.1546566844,-36.4999311978,-132.1709631639,800.0236074903,496.1438830678,-834.3433286656,-261.0386000266,-707.2623984313,622.3696005959,-837.8720265055,828.1863403088
1944,1027.1666666667,-326.2833723263,599.9683146509,110.4645600389,-914.1495542242,656.1792009808,-764.3745400755,47.4168309919,-240.9226127451,973.9663865116,833.7322007253,-1021.2095485681,-468.4036225552,-790.2532615,686.1508023719,-1026.0716374844,998.5127218915
1945,682.0833333333,-555.3142868126,207.9267344695,212.6721615698,-550.9360370075,498.0361462444,-552.4028468798,92.4056270812,-211.486861336,396.0602434894,649.61846241,-648.0804157697,-402.1282839313,-466.0447088479,400.1109450767,-675.7949938367,648.4681804787
1946,897.8333333333,-897.8012209015,-3.7968152237,451.1069785545,-633.5202392884,727.2540726295,-778.1785067354,200.8441749739,-344.4627020956,-7.5935625476,897.8253051895,-776.2777778243,-636.2049990816,-526.5037590446,447.8201716085,-875.0807458877,829.126131122
1947,794,-638.5396709784,-248.4305750538,532.8886125846,-465.3934482818,696.4092525656,-725.7925180078,246.2373622726,-361.1880410979,-471.9142809736,754.134105699,-588.6133931348,-643.307809914,-381.379277021,321.9646266345,-754.8530727374,707.0920724827
1948,745.4166666667,-224.7950803848,-440.4997204545,604.1948996293,-337.1128695672,693.499250118,-709.2330206086,293.7330184917,-390.1002790445,-710.7131480276,601.3368467207,-436.5713346137,-664.8314975365,-273.3217829413,229.4221641928,-685.1035839873,635.191135985
1949,1020,322.4660750931,-827.4404500008,932.850929454,-313.3773611791,988.3343173007,-997.9749365698,484.3084004074,-600.3145390532,-967.6857084891,596.4413648486,-412.5398688815,-970.6671053973,-252.1810406153,210.8222615818,-897.688906746,824.6347398705
1950,705.4166666667,573.6578947241,-671.6697527485,690.3508357321,-109.1000355785,699.9805472451,-701.6400996892,389.2158733911,-458.6129578305,-410.523194755,215.5746201526,-145.011714062,-696.9288743107,-87.4065620515,72.8961186843,-588.32276644,535.9914444477
1951,685.3333333333,685.3171836546,-685.3292959017,685.3315389183,1.1762198859,685.3326873437,-685.3328847294,427.8236278797,-485.0195256239,4.704844897,-2.3524363072,1.5682925824,-685.3323239747,0.940976075,-0.7841468045,-535.3958546773,484.1878122602
1952,694.25,558.9765738385,-659.5652162172,678.7623720471,109.7267313401,688.6611142361,-690.3672353515,480.2393299829,-528.2806288957,411.7380871377,-216.6951500526,145.8242256724,-685.523965248,87.9143460369,-73.3221852725,-501.3514220959,450.4471552064
1953,726.4166666667,220.1680460164,-586.3509664463,662.9998372673,225.5505032897,703.3693834071,-710.3855662242,547.4686781119,-588.015653863,692.2479361648,-428.8049880292,296.8373113251,-690.5129572115,181.5287417921,-151.7679838156,-477.4507514892,426.519359963
1954,805.9166666667,-253.5670451835,-471.7773658095,651.0658920546,366.9389809963,748.9711991202,-766.2266398123,652.3999568397,-687.467786171,764.9872072186,-653.3971156357,474.9893449482,-717.5356840162,297.563130276,-249.7967374749,-473.1553338246,420.582591875
1955,897,-728.6246920926,-274.8023391394,598.9667954843,528.2571825314,785.5633914855,-819.1099485263,770.3957857036,-799.5172583286,523.1778455487,-853.8692372978,667.7183372556,-724.9505839049,433.0117295845,-365.6061982862,-459.4554748505,406.6708172892
1956,1132.25,-1132.2342625026,2.9848602557,564.4008147117,801.6762658719,915.3071991856,-980.0594076272,1020.4917352306,-1046.3479379569,-5.9696997676,-1132.2460656188,981.5507031492,-799.5656491107,666.4854039054,-566.9864372464,-490.4963616847,432.6038086209
1957,747.4166666667,-602.4890177265,232.724451099,229.7903311544,605.2164105109,544.3361080904,-604.3098530368,699.9432301491,-710.9783772265,-442.3105889871,-710.2612219964,711.2159146976,-438.5712827574,512.1814864285,-439.8195938493,-262.1281140581,230.5242302396
1958,963.9166666667,-293.6140070649,568.3818722044,99.2753922134,859.3625835254,613.7347936427,-715.831176124,929.3494759962,-937.4137979696,-918.1100996793,-778.5097222432,958.7907679878,-436.613433502,743.2798553372,-645.5393617486,-255.8219922983,224.4787554625
1959,762.75,238.832031861,618.043968825,-80.8205500781,725.67230887,408.1457151834,-509.9714148498,750.576141105,-753.4235581964,-724.3941075527,-447.0002406028,758.4560641099,-234.9196940219,644.3637464022,-567.2007744494,-135.7314219478,118.9138530816
1960,725.3333333333,588.50694439,690.2797071147,-225.0595190725,716.5163380336,308.3069932054,-425.9491009951,722.4503745172,-723.1257249947,-423.9905905196,-222.76079186,689.5336520571,-112.7509723918,656.5479741687,-587.090970639,-64.6057335256,56.547593188
1961,892.4166666667,892.4106246222,892.4151561543,-447.1559801329,892.4162890385,275.1472049346,-445.7342580923,892.4165433595,-892.4165722597,3.2839010144,1.6419532864,772.3076047637,0.8209769906,848.9414129145,-773.1290177631,0.4691297535,-0.4104885387
1962,1098.4166666667,886.4625922602,1044.0843977683,-735.8983286686,1084.7485601573,205.0973785797,-446.2040925571,1093.9473587933,-1094.9943084854,648.6164090852,341.1846185689,815.4586583475,172.7418155743,1079.0988086876,-1003.7036820678,98.986614248,-86.6408563893
1963,815.1666666667,249.5402537773,658.7539720242,-659.9693150513,775.0777296417,50.6896412932,-251.5071647009,802.0032585463,-805.0820528754,776.0324453199,480.1457057882,478.4738212642,252.490014571,813.5891190952,-775.3972146897,145.9022540117,-127.8263767086
1964,797.5,-248.5063538561,467.8794891849,-728.8467539528,710.330958999,-50.5090844677,-165.4553772512,768.6777548548,-775.4015700918,757.7934033054,645.8289507293,323.7107648079,362.5412785981,795.8989146784,-780.1479142693,212.4635479122,-186.4367321617
1965,610.0833333333,-494.4290240122,187.828068383,-596.85307137,493.3520283042,-114.6065363342,-63.5277983227,571.1075857242,-580.1670119654,357.4095883232,580.4500756642,126.3648875571,358.8947614263,599.2220084748,-606.7667529219,214.5642074983,-188.7005878058
1966,908.25,-908.2480217641,-0.9478219223,-908.2497801959,641.8945408862,-281.0252336299,0.3159406918,818.1874394445,-839.0228778943,-1.8956428125,908.2495054409,-0.6318813453,642.5647522861,863.679848418,-908.249945049,394.31887659,-347.7911339727
1967,668.6666666667,-540.2667307586,-207.1916469647,-653.9726225861,392.7931791503,-284.918413233,70.0907179135,573.9294236324,-595.7192362611,-393.98854139,635.7568187123,-139.4091819754,541.1364241336,604.9269451032,-664.9830090863,343.1036691732,-303.7000208423
1968,582.25,-179.1219716693,-342.5794028365,-531.7973102752,264.1478801718,-312.1277127822,121.1942213809,470.9792389163,-496.3945838393,-554.0129797805,470.8018853533,-237.0794872696,518.8843415452,491.5194334036,-569.4971669849,342.33553571,-304.3147706487
1969,1098.0833333333,340.5079128238,-888.7331069799,-888.1245672024,339.0309678984,-700.1361191048,339.5233583831,826.8184276016,-888.2767762014,-1043.9546772963,644.934470704,-645.7722199629,1044.4352587644,845.9293242755,-1044.2752970633,722.6052136007,-645.5628364502
1970,724.3333333333,586.343926249,-688.9728689714,-484.527706693,113.1652840306,-528.0968940659,294.7025694632,500.4989015407,-550.7395778302,-425.2758844898,223.5512549708,-538.415898005,715.438604122,495.7544233345,-661.6714995596,523.6025471045,-470.4728421377
1971,755.0833333333,755.0832410183,-755.0833102546,-377.433876637,-0.0933444626,-610.9191390474,377.5955578352,470.7450540609,-533.8915420897,0.3733778361,-0.1866889238,-653.9835693995,755.0833275636,443.7664316094,-653.8902315992,590.3811771686,-533.9575465923
1972,753.4166666667,609.4489566063,-716.5213447627,-232.7765270954,-117.8930668965,-660.2368304098,442.8650801817,415.0391620012,-489.2923830016,442.9544478868,-232.8815924685,-716.555484275,744.1356720309,362.9380131393,-609.5139000604,628.7918317031,-572.9132897287
1973,646.25,199.7898605708,-522.8543104412,-67.5820642669,-199.6803249914,-600.8612699897,432.414242057,306.249214165,-379.8655370485,614.5917947004,-379.8189470696,-642.7065637516,614.6273914424,237.9176259262,-480.2676189025,569.0786249046,-522.8204627431
1974,696.1666666667,-214.8220122612,-409.326338986,72.6628148231,-315.9815459699,-674.2793415663,517.3168552077,273.6530934451,-363.7802964646,662.192970988,-563.1163076933,-692.3641694367,620.3254713328,173.1917934395,-465.8661815327,640.1265595379,-593.5586943866
1975,882.6666666667,-713.6876265284,-273.0862190732,272.5408315353,-518.679256257,-875.6893158557,714.0249126418,272.8524956584,-400.7989235608,519.3750246062,-839.359494732,-839.5367410605,714.1934426843,110.7640128408,-518.9112338072,839.4355008322,-786.4227026968
1976,991.9166666667,-991.9160685545,-0.5446455279,495.643848854,-701.1984136586,-991.9166427422,858.9342431235,220.8739318293,-379.7158677636,1.0892908915,-991.9165171386,-859.2065227315,701.5835362192,0.2178582203,-496.1155506543,967.0126058379,-916.3593909486
1977,791.0833333333,-640.6579647994,243.9251954573,529.0603907478,-639.8351338368,-784.8734663209,722.6145922015,106.3483520307,-244.5914244391,-464.0799633865,-752.5379321329,-588.1393909776,465.2137592395,-98.9266503177,-321.9332095562,783.9023333924,-752.321656852
1978,937.5,-291.2501527038,550.3904213557,758.1345734169,-835.1339024435,-908.1275714994,891.5316630884,42.292939946,-219.0527521617,-891.1114400287,-758.9312446328,-551.48727872,425.9784208027,-232.8316213116,-289.9612796751,936.5455446644,-911.549308469
1979,817.3333333333,250.9729087791,660.7428780874,746.4433954918,-777.2004107054,-760.0608376165,799.4144251762,-36.4299602848,-128.0663410657,-777.8472708936,-481.0952367614,-332.9504994805,252.9689691981,-300.5682965642,-170.2067995054,816.5210565389,-807.237753121
1980,844.4166666667,681.9680599279,802.7778967068,825.8250485939,-833.942007143,-740.1608924232,839.7558995708,-113.0652185925,-66.5017935077,-497.9548897066,-261.8914956686,-176.2171843477,132.5904810566,-406.4497020196,-88.5976076455,836.8128603751,-841.7939287051
1981,800.5,800.4971019834,800.4992754955,800.499677998,-800.4998188739,-647.8712284021,800.4999194995,-177.8279948626,-0.2692503271,-2.1540000579,-1.0770010037,-0.7180007895,0.5385006237,-470.1735013893,-0.3590004308,780.4982089942,-800.4999547185
1982,687.9166666667,557.7505755419,654.5667487109,673.0271702278,-679.5280406878,-501.7530050716,684.1841666529,-212.2966551367,53.7153405525,402.6706293741,211.5932696468,142.3508637593,-107.1026712873,-470.6094582342,71.5637225087,654.3389568837,-685.8163037338
1983,923.25,288.2204455319,747.8268813159,843.846886518,-878.2999859601,-588.9750436021,903.1811004659,-362.4567166788,144.0487772638,877.1086234198,541.4291441005,374.583761813,-284.5693187302,-710.9845008957,191.4535511845,849.1264281804,-911.9432615403
1984,587.75,-179.5852505102,346.3371417511,475.9192968948,-523.9321127609,-315.2940242551,559.0937440403,-278.2466579594,136.9470029332,559.6420287105,474.8690837943,344.8925707277,-266.3554086515,-496.0239316495,181.2849907605,517.7150372883,-571.5729007639
1985,838,-675.997928356,260.5357327102,561.5540216295,-678.4441554067,-357.4042139974,765.776165118,-461.2554574718,258.5612091644,495.2482214591,796.4704212845,622.0137303884,-491.8917848414,-757.9618907418,340.3393379221,699.6337634452,-797.1136061537
1986,896.6666666667,-896.6584405878,1.9204232231,449.4416336641,-634.7176894499,-277.8157094868,776.8559849258,-558.633432408,342.6958682547,3.8408376371,896.6646101446,775.8951791579,-633.3597443875,-852.5429858215,447.7788402729,701.3842023507,-828.5955907391
1987,915.25,-742.920697729,-280.8241388339,284.1627496772,-538.8219879665,-172.3281514191,740.8652101233,-632.0600382941,415.0456228017,-534.5571993584,871.1029592122,870.0195941448,-739.8333783926,-898.880175957,537.4023659503,661.9536769984,-815.7326115175
1988,790.75,-248.0526946534,-463.2158752692,83.94563706,-359.8594233384,-50.4282264441,588.0754947306,-595.125402766,412.750968197,-750.836482315,640.8717620543,786.2815605867,-704.1212664979,-789.1403908543,528.6329302998,520.6835099008,-674.4792070571
1989,764.8333333333,232.5323755891,-617.5834112521,-78.6183775985,-237.2990188965,47.2244348599,512.2694954698,-618.4265250697,449.1524396897,-728.627972343,451.1770804507,760.7819519951,-727.0895429096,-763.3740109081,567.9348481902,450.0207338201,-619.0574397409
1990,1250.9166666667,1007.9108968446,-1188.613698037,-384.3499023744,-197.4029151782,233.0324746562,736.2074463875,-1073.3381760088,811.7443902792,-740.883345046,389.8589280539,1190.4065101844,-1235.2427275737,-1229.0192727131,1011.331351649,642.4466256947,-951.7686440489
1991,968.3333333333,968.3166156443,-968.329153902,-482.5231626213,-1.4225123202,298.1489377477,484.987722511,-872.0851910579,684.2119475527,-5.6900185824,2.8450215706,839.5479986149,-968.3322884749,-921.2907550629,838.1266929635,420.8763048472,-685.217815932
1992,845.3333333333,686.953859335,-804.7650092425,-564.3400287534,130.9460893486,358.9775170061,344.6251636234,-791.1673780319,642.3712083525,492.6285005855,-258.7309883707,629.3717314839,-835.1296702481,-765.3258043007,771.8950323988,297.7291124202,-549.4976570689
1993,735.6666666667,231.8856704582,-596.5718744117,-594.2266353596,226.193945729,393.3804522752,228.0928718362,-708.9729339467,594.8145889767,698.1650809663,-430.4735103411,433.7051420882,-700.0298160507,-621.6568701561,699.4133872482,196.3741922339,-432.8984282542
1994,974.25,-294.7227846031,-575.3387652507,-889.1169686724,440.8170087772,619.9840656141,203.6428930394,-958.4231680887,830.249671274,928.6019291041,-786.2241205279,398.2889384842,-868.8172576974,-751.5203396347,952.7290457494,174.8945206996,-509.7534167119
1995,998.9166666667,-803.921677223,-312.0767092173,-976.5901625769,585.7029455402,727.2002908686,105.5990460271,-994.803338648,889.6355829665,592.9118347912,-948.9165582434,210.0146692554,-809.1888324304,-684.8461461563,993.3193587274,90.5584030297,-454.29399783
1996,1097.4166666667,-1097.3860583715,-4.0981735776,-1097.413265731,774.5404883836,886.8642024567,1.3660606815,-1097.4160420048,1013.4882784813,8.1962900035,-1097.4090145662,2.7321192463,-777.4383397623,-646.3708120566,1097.4158164324,1.1709092358,-420.9095504485
1997,964.9166666667,-785.0269492232,294.6002261737,-944.3484990224,779.5283323427,844.8379056005,-99.615680901,-961.1278239228,917.3996003998,-561.0676096555,-918.844317798,-198.1668135821,-568.68247088,-466.1685176754,959.7608502798,-85.4252871965,-299.0687994382
1998,1032.5,-327.0091394984,603.4978514742,-944.3669386978,919.0124541178,959.3767726645,-213.3042261589,-1016.1201038172,1003.7272061862,-979.3473707958,-837.7628502542,-417.4054804318,-470.6084988358,-381.6444131281,1010.2264880227,-183.1834725581,-242.0494692448
1999,660.1666666667,198.7062502157,532.446838017,-535.1735994107,627.424769199,639.1487920753,-203.1209695808,-636.5870535715,651.929806898,-629.5521057887,-390.2824521594,-386.5349224477,-205.3245888185,-165.2538936502,628.1416237557,-174.8626632619,-103.9593894548
2000,780.3333333333,627.2687567353,741.0798981723,-523.8327023292,770.4574804355,774.0079742733,-316.3510647947,-730.9171664203,777.8604518199,-464.1702467143,-244.3781815874,-578.3765305418,-123.7553310043,-99.1552664889,713.3317004832,-273.2767954714,-62.0743796232
2001,852.4166666667,852.3816711015,852.4079177305,-428.4361468249,852.4144794298,852.4152668349,-425.0929671585,-768.4790026326,852.4161198573,-7.7240132961,-3.8620462869,-736.9237692632,-1.9310280983,-1.5448229543,738.8573224132,-368.8552509101,-0.9655146685
2002,612.6666666667,499.0137710376,583.5621424351,-191.1453251133,605.3468084673,607.9785901549,-359.3411159737,-526.3635636976,610.8339609769,355.4514042162,186.5895773108,-582.0858262592,94.4229099475,75.6470644356,496.2201193173,-313.5312476549,47.3531050909
2003,777.5833333333,247.4473394251,631.287084967,-83.7791875991,740.1061262065,753.5277994405,-519.370070528,-629.7107726098,768.1568944277,737.1605350866,453.9960975951,-773.0568465533,238.4926879999,191.915855906,578.697304398,-456.1799898471,120.7096757549
2004,711.4166666667,-213.0514283423,421.0376091463,72.0004666926,634.6837188913,661.9818323395,-527.8901427495,-536.4168513412,691.9675748518,678.7656167577,573.4466019565,-707.7638069351,321.3880062875,260.5642478614,476.9126448304,-467.301439339,165.2106200126
2005,994.5,-798.4828593491,312.2010941503,304.0570378036,806.0751323954,872.4754922597,-803.55926169,-688.3223979071,946.2219531292,592.836717255,944.2249344363,-946.8788559061,582.4715709232,477.3015455728,585.9375077192,-717.8039610781,306.0951901229
2006,1054.0833333333,-1054.0235095982,5.6151225334,523.7964420734,747.332081704,854.0895939306,-911.9256475338,-658.4637613194,974.3823596003,11.2300857246,1054.0683772934,-914.7289002116,743.3615763994,617.7561324264,528.6617888415,-823.1142986488,402.0829403379
2007,895.8333333333,-730.4783630751,-272.1493102964,596.9905490583,528.5437244466,654.3785920122,-817.7167586158,-494.683208683,798.7504139575,-518.5737384309,853.4940620861,-667.9218857368,723.2972365903,611.8055405332,365.8642696272,-746.8640332471,405.6046564252
2008,846.8333333333,-270.7627561328,-493.8804344808,683.2242968126,386.5826430693,541.2639912089,-804.8924782629,-402.4901150886,722.6678914562,-802.3803489217,687.901745078,-500.3311450323,753.4457873808,651.2756607343,263.2010503021,-745.0693938825,441.4496722194
2009,618.25,184.2106502273,-498.056872758,563.8221097873,192.7555458571,332.4860859844,-604.4899014359,-243.9302599553,500.7015971246,-590.1690425995,366.2955282262,-253.648755201,587.4337086356,521.2351342022,129.7113008261,-568.0942622295,362.6719911117
2010,1312.9166666667,1052.891393405,-1246.2160390965,1283.1307881574,209.2514822099,561.8451886197,-1305.4489593424,-407.8407231623,999.6199107984,-784.3276657781,413.1534309551,-278.0747275353,1296.1342487583,1186.6255338716,139.8327149243,-1247.9647904255,851.1816536713
2011,630.4166666667,630.3693914555,-630.4048477531,630.4114138071,1.9301347247,196.2774137682,-630.4153534504,-141.3559731559,446.4537841202,-7.7203579706,3.8602513565,-2.5735098391,630.4137119314,599.0829245235,1.2867576,-614.3644378252,445.0889711686
,,-13.9616593364,-7.8583509715,-37.4265702186,175.1889148124,31.5506461796,-97.2302128139,-28.8206193911,16.7103422051,-7.8856167285,-14.4261954999,-76.4184937053,-10.5903313597,-108.3598065844,204.4840721595,-27.7594229164,-189.7441266033
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,257.1108826127,,,,,,,,,,,,,,,,
20,269.8687965919,,,,,,,,,,,,,,,,
30,7240.5343385097,,,,,,,,,,,,,,,,
40,30803.3109914571,,,,,,,,,,,,,,,,
50,12737.2909573671,,,,,,,,,,,,,,,,
60,51267.4500507799,,,,,,,,,,,,,,,,
70,1601.2136627362,,,,,,,,,,,,,,,,
80,36282.0691170568,,,,,,,,,,,,,,,,
