Year,annual_Mean_kngoa,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1942,2245.1666666667,1803.449255517,2131.8791610482,-686.8642552254,-2216.6638661351,959.8976966835,-1322.6202460938,-298.2826294627,-178.8764065776,1337.2898503639,704.1765430627,-2137.5197907867,-356.6155712841,-2029.6230618056,1814.2351131356,-2225.264216688,2238.0296227443
1943,2131.9166666667,639.683326388,1718.8397567148,-216.1920430421,-2026.0172504548,1145.7249218836,-1429.0145649799,-92.7839566607,-335.9826858727,2033.6848122441,1261.2131320074,-2120.9266074376,-663.5682138792,-1797.8829430711,1582.0828191617,-2129.8966667418,2105.2753521583
1944,1988.4166666667,-631.6280664513,1161.4346873182,213.8402455856,-1769.6351219653,1270.2492223432,-1479.6966494191,91.7907678321,-466.3844282582,1885.4301434816,1613.9610612936,-1976.88471835,-906.7482425595,-1529.7933695158,1328.2690487909,-1986.2968799298,1932.9475950879
1945,2115.5,-1722.3223561424,644.8904192112,659.6084903619,-1708.7430953542,1544.6726461283,-1713.2924460466,286.5985643352,-655.9322494657,1228.3916116338,2014.8093203104,-2010.0390268456,-1247.211804017,-1445.450333392,1240.9549727205,-2095.99654411,2011.2416896313
1946,2235.5,-2235.4200438003,-9.4536258763,1123.2036204477,-1577.391306771,1810.7775897866,-1937.5734751889,500.0785073184,-857.6718439221,-18.90708269,2235.4800108607,-1932.840882487,-1584.0760446782,-1310.9327863497,1115.0198555383,-2178.8487181349,2064.4271016782
1947,2159.0833333333,-1736.3480620675,-675.5444761828,1449.056576769,-1265.5204504128,1893.7098367676,-1973.6102381469,669.58058555,-982.1600500425,-1283.2522151285,2050.6780588324,-1600.5861044006,-1749.3138168621,-1037.0650386583,875.501837896,-2052.6331088951,1922.7590791304
1948,2491.1666666667,-751.2603837923,-1472.1407091411,2019.2065209076,-1126.6240495072,2317.6597633346,-2370.2416901144,981.6495086405,-1303.7068464793,-2375.1882445094,2009.6549687946,-1459.0121271037,-2221.8527431365,-913.4355929846,766.7239995951,-2289.6016254574,2122.7952844197
1949,2533.9166666667,801.0805510912,-2055.5540656188,2317.4181545677,-778.5020769097,2455.2517635753,-2479.2012987156,1203.1344388226,-1491.3206036757,-2403.9558282703,1481.698740274,-1024.8447543366,-2411.3623099523,-626.4762174829,523.7314140455,-2230.0675316525,2048.5840306572
1950,1945.6666666667,1582.2521590098,-1852.58657852,1904.1123818868,-300.9176173286,1930.6728667546,-1935.2502123501,1073.5277273402,-1264.9374293476,-1132.2971708375,594.5937662518,-399.9685174153,-1922.2558012292,-241.0830963707,201.060670885,-1622.7005257933,1478.3612811534
1951,2410.6666666667,2410.6098600147,-2410.6524649619,2410.6603547944,4.1373648905,2410.6643943921,-2410.6650886981,1504.8737727753,-1706.060899471,16.5493376922,-8.274717594,5.5164844143,-2410.6631162379,3.3098924974,-2.7582440126,-1883.2601269583,1703.1353396234
1952,1650.4166666667,1328.8357994085,-1567.9617221441,1613.5984609763,260.8495875875,1637.1304006057,-1641.1863037014,1141.6564554449,-1255.8633843812,978.8108049167,-515.1419333563,346.6629203507,-1629.6725641265,208.9957536023,-174.3063112858,-1191.845506495,1070.8325421754
1953,2531.25,767.1910517091,-2043.1812097974,2310.2695946992,785.9466028937,2450.9401194208,-2475.3885022439,1907.6931395719,-2048.9819302613,2412.1866537807,-1494.2011599617,1034.3505026384,-2406.1409975103,632.549676716,-528.8462209932,-1663.7107464131,1486.2367281031
1954,2859.5,-899.6897516727,-1673.9291211237,2310.0687643428,1301.9485258924,2657.449873499,-2718.6744823202,2314.8022044254,-2439.2275477894,2714.2768098953,-2318.340257049,1685.3256522131,-2545.9124662735,1055.7937392504,-886.3121962271,-1678.8183357312,1492.2832238236
1955,2937.3333333333,-2385.9683339724,-899.8729886646,1961.3881091814,1729.8410600024,2572.4208865739,-2682.2730830224,2522.7527549685,-2618.114485467,1713.2081661001,-2796.0965139606,2186.5232210687,-2373.9370291229,1417.9484805272,-1197.2210402446,-1504.5416738694,1331.692025995
1956,2629.5833333333,-2629.5467839308,6.9321605482,1310.7873488061,1861.845482416,2125.7465717452,-2276.1297275099,2370.0314054024,-2430.0808995533,-13.8642729201,-2629.5741959668,2279.5931727294,-1856.9437004259,1547.8727401366,-1316.7923034746,-1139.1486489263,1004.6966350947
1957,2187.25,-1763.1318149479,681.0479058977,672.4614585582,1771.1132931965,1592.9523725107,-1768.4603314368,2048.3231086767,-2080.6165087594,-1294.3835465651,-2078.5178162269,2081.3116415506,-1283.4407914519,1498.8546632054,-1287.0938655103,-767.0951733396,674.6091505294
1958,3000.9166666667,-914.0947530401,1769.5166940393,309.0694345116,2675.4133306244,1910.7118227603,-2228.5637143081,2893.3002489926,-2918.4065253466,-2858.3092244792,-2423.6978998618,2984.9584460975,-1359.2881779061,2314.0184032635,-2009.7274968382,-796.4386413638,698.8592083478
1959,2442,764.6382455649,1978.7130408007,-258.752911558,2323.2930557331,1306.7084057395,-1632.7108424298,2403.0244989556,-2412.1407133603,-2319.2008005818,-1431.1040151454,2428.252649697,-752.112609376,2062.9777367606,-1815.9348295058,-434.5540903264,380.711411636
1960,2115.75,1716.6363523803,2013.5008598271,-656.4839303461,2090.0314000846,899.3113798819,-1242.4657312921,2107.3405972677,-2109.3105505389,-1236.7528840421,-649.7786930761,2011.3246659099,-328.8872286369,1915.1075960674,-1712.5060493513,-188.4507086949,164.9456391831
1961,2679.5,2679.4818586331,2679.4954646544,-1342.5953296472,2679.4988661634,826.135327992,-1338.3265790177,2679.4996297676,-2679.4997165408,9.8599825584,4.9299996237,2318.8699900619,2.4650008549,2548.9646270287,-2321.3363000425,1.4085720509,-1.2325005579
1962,2295.9166666667,1852.8890736181,2182.3510540106,-1538.1788068545,2267.3475139134,428.6956890411,-932.6582925453,2286.5748943263,-2288.7632344344,1355.7416498525,713.1460000146,1704.476253405,361.0659100894,2255.5383717586,-2097.9470559631,206.902375324,-181.0972031243
1963,2667.6666666667,816.6308120956,2155.7996475606,-2159.7769079352,2536.473960467,165.8839498138,-823.0676095283,2624.5888685935,-2634.6643505056,2539.5983070519,1571.296701461,1565.8253901359,826.2840264205,2662.5040769244,-2537.5194885143,477.4711669824,-418.3171101203
1964,2319.75,-722.8496731757,1360.9572978515,-2120.0529874382,2066.1946609881,-146.9196848827,-481.2728669322,2235.912503855,-2255.4705858564,2204.2523477338,1878.5726751778,941.6025663487,1054.5518884363,2315.0927991539,-2269.2766446722,618.0091727515,-542.3029585356
1965,1808.8333333333,-1465.9303913686,556.8905958641,-1769.606989094,1462.7372116338,-339.7964045444,-188.3532837581,1693.2743144009,-1720.1345665511,1059.682082249,1720.9738208398,374.6586872441,1064.0854653079,1776.6306400702,-1799.0000189759,636.1604545771,-559.4775247798
1966,1807.1666666667,-1807.1627305235,-1.8859038635,-1807.1662293173,1277.1928629836,-559.1626035873,0.6286347226,1627.9670439301,-1669.4238122777,-3.7718056731,1807.1656826306,-1.2572693691,1278.5263985757,1718.484374052,-1807.1665573294,784.5856645318,-692.008306389
1967,2114.0833333333,-1708.1289497274,-655.0654152353,-2067.6260546342,1241.8706582583,-900.8094747393,221.6016229744,1814.5582687102,-1883.4498136474,-1245.649963425,2010.0342390219,-440.7616572201,1710.8786071592,1912.5612749655,-2102.4369338871,1084.7703119708,-960.1901581193
1968,1442.0833333333,-443.6390038266,-848.4809741069,-1317.1250113515,654.2262868717,-773.059978488,300.1668814937,1166.4943079212,-1229.4415733991,-1372.1475046661,1166.0550488105,-587.1848471734,1285.1429126147,1217.3670810145,-1410.4978495312,847.8769780252,-753.7093324855
1969,2240.4166666667,694.7374391946,-1813.2799257157,-1812.0383235364,691.7240321734,-1428.4859651008,692.7286552425,1686.9555609068,-1812.3488751746,-2129.978105723,1315.8581805326,-1317.5674382412,2130.9586348852,1725.947475385,-2130.6322654282,1474.3296021594,-1317.1402335862
1970,2484.8333333333,2011.4591800385,-2363.5288779327,-1662.1775377558,388.2147306977,-1811.6421062192,1010.9803516169,1716.9668944019,-1889.318077743,-1458.9135209063,766.8949977817,-1847.0415608276,2454.3198685814,1700.690910606,-2269.8712349137,1796.2242003637,-1613.9621729018
1971,1946.5833333333,1946.5830953479,-1946.583273837,-973.0137870394,-0.2406393667,-1574.9321453491,973.4305965647,1213.5673455258,-1376.3571936511,0.9625574301,-0.4812787298,-1685.9510205941,1946.5833184592,1144.0172250264,-1685.7103984026,1521.9858644168,-1376.5273513795
1972,1385.25,1120.5475064336,-1317.4133739619,-427.9885200648,-216.7610276541,-1213.9273124546,814.2623855614,763.1009832923,-899.6247409176,814.4266991728,-428.1816957863,-1317.4761436902,1368.1857400917,667.30655817,-1120.6669130299,1156.1117817055,-1053.3721507753
1973,2129.1666666667,658.2373871804,-1722.6212291132,-222.6591543546,-657.8765059357,-1979.6267502563,1424.6529831795,1008.9835489255,-1251.5234650663,2024.8640044612,-1251.3699674569,-2117.4922893429,2024.9812832178,783.8549764557,-1582.3130448689,1874.9141026837,-1722.5097128414
1974,2310.9166666667,-713.0990210696,-1358.7537355063,241.2033179148,-1048.896845977,-2238.2619608539,1717.2269226434,908.3880697062,-1207.5642089131,2198.1414027372,-1869.2576404888,-2298.2943239944,2059.1627538341,574.9080229674,-1546.4370457366,2124.8922219947,-1970.3107677801
1975,2656.1666666667,-2147.6661072476,-821.7853235214,820.1441148372,-1560.8367271463,-2635.1700579291,2148.6810862486,821.0819908059,-1206.10506888,1562.9304696279,-2525.8444613943,-2526.37784031,2149.1882356607,333.3168566171,-1561.5348061151,2526.0731829236,-2366.544300015
1976,2085.0833333333,-2085.0820760565,-1.1448858063,1041.880596671,-1473.9717305008,-2085.0832830422,1805.5442911192,464.2935939091,-798.1912734028,2.2897712675,-2085.0830190141,-1806.1166433054,1474.7812870486,0.4579543419,-1042.8721492835,2032.733126999,-1926.2562648848
1977,2265.8333333333,-1834.9826253972,698.654383702,1515.3430974858,-1832.6258600047,-2248.0469345061,2069.7240874286,304.6046235874,-700.5626072369,-1329.2251347815,-2155.430988591,-1684.5580997242,1332.472570707,-283.347268739,-922.0861653675,2245.2654002887,-2154.8115295278
1978,2329.6666666667,-723.7501572434,1367.7079661706,1883.947567506,-2075.2891890409,-2256.6768345634,2215.43637096,105.0970159228,-544.3412212829,-2214.3921259949,-1885.9272777738,-1370.4336323464,1058.5469095075,-578.5814049234,-720.5473364087,2327.2948663678,-2265.1797748943
1979,1941,596.0094811667,1569.1295999605,1772.6508531604,-1845.6924924704,-1804.9895014033,1898.4462470642,-86.5137270548,-304.1314453611,-1847.228653513,-1142.5030846907,-790.6895426081,600.7497176348,-713.7884139043,-404.2064410767,1939.0710082488,-1917.0250556377
1980,1944.5833333333,1570.485017114,1848.694583998,1901.7692202642,-1920.4615352492,-1704.4956503202,1933.8501841986,-260.3747040221,-153.1451052504,-1146.726275664,-603.1025413428,-405.8055853897,305.3388804358,-936.0015589288,-204.0289326366,1927.0727422137,-1938.5435040296
1981,2209.5833333333,2209.5753340713,2209.5813335169,2209.5824445259,-2209.5828333791,-1788.2891548077,2209.5831111315,-490.8504355384,-0.7431992945,-5.945587293,-2.9727963371,-1.9818645568,1.4863985049,-1297.7982916238,-0.990932378,2154.3733095441,-2209.5832083448
1982,2092.8333333333,1696.8319750645,1991.3736313901,2047.5353547061,-2067.3128060365,-1526.4718315406,2081.4780328673,-645.865317638,163.4169670061,1225.0357584617,643.7254238533,433.0708167719,-325.8360371542,-1431.7245226035,217.7166961944,1990.6806254604,-2086.4434466349
1983,3053.0833333333,953.1124165494,2472.9789196471,2790.5062172902,-2904.4387206082,-1947.6738579701,2986.7177523035,-1198.603369344,476.3530149483,2900.499019427,1790.4449456096,1238.706136072,-941.0385531471,-2351.1453343546,633.1152409735,2807.9650644684,-3015.6932280037
1984,2045.3333333333,-624.9454683853,1205.2316471202,1656.1694630634,-1823.2510670074,-1097.2035348528,1945.6113503083,-968.2810113362,476.5670267961,1947.519346756,1652.5147869911,1200.204630078,-926.900205578,-1726.1323377861,630.8604584185,1801.6160322139,-1989.0380371966
1985,2220.75,-1791.4348441487,690.4352367735,1488.1516629281,-1797.9174917894,-947.1424919268,2029.3525282646,-1222.3544835091,685.2026315655,1312.4373362832,2110.6941385055,1648.3734985204,-1303.5425789815,-2008.6442349223,901.9195521366,1854.0712173876,-2112.3986167851
1986,1325.25,-1325.2378420695,2.8383355499,664.2630390483,-938.0962281897,-410.6043892164,1148.172930137,-825.6456761696,506.4955755441,5.6766580803,1325.2469605139,1146.7528842145,-936.0892207243,-1260.0363479107,661.8054736859,1036.6275994408,-1224.6427211453
1987,2250.1666666667,-1826.4904561667,-690.4136753885,698.621739669,-1324.7083054786,-423.6733810999,1821.4369847719,-1553.9365523096,1020.4007927607,-1314.2232083288,2141.6299831237,2138.966501056,-1818.9001987943,-2209.9210153138,1321.2181266858,1627.4308646373,-2005.5004986066
1988,2460.3333333333,-771.7892040201,-1441.2462326323,261.1877951903,-1119.6637806558,-156.9019873047,1829.7334710112,-1851.668499448,1284.2301175096,-2336.1467281978,1994.003362092,2446.4302660723,-2190.7973729669,-2455.3252080918,1644.7843433631,1620.0505792299,-2098.569302261
1989,2207.8333333333,671.2478490802,-1782.7691106682,-226.9465347674,-685.0076494491,136.3220938308,1478.7609515121,-1785.2029151445,1296.5618584811,-2103.3198408428,1302.4063597146,2196.1382693571,-2098.8788788241,-2203.6207283721,1639.4493209797,1299.0683506026,-1787.0241674107
1990,2593,2089.2782270478,-2463.8534293597,-796.7111826182,-409.1925327217,483.0483299849,1526.0696090728,-2224.9011181594,1682.6486208732,-1535.7621853608,808.1307311522,2467.5697136031,-2560.5098068871,-2547.6093324721,2096.36841902,1331.7146895688,-1972.9020803562
1991,1963.25,1963.2161056769,-1963.241526401,-978.2928733386,-2.8840763987,604.4828592425,983.289651862,-1768.1114471716,1387.207338416,-11.5362433547,5.7681465733,1702.1438295499,-1963.2478815991,-1867.8733991848,1699.2621996152,853.3067870823,-1389.2466889451
1992,1910.9166666667,1552.8922464918,-1819.2100184288,-1275.7177838471,296.0099344296,811.4859466156,779.0417613415,-1788.4719189324,1452.1110191967,1113.6104245787,-584.8738460497,1422.7250763661,-1887.8507953924,-1730.0557983458,1744.9058544892,673.0309815564,-1242.1658886284
1993,2319.5833333333,731.1438193478,-1881.0124744279,-1873.6178517482,713.1976075404,1240.3426471545,719.1849895287,-2235.4170385597,1875.471690549,2201.3394912433,-1357.2983869895,1367.487837565,-2207.2190677131,-1960.1063639322,2205.2754456336,619.1748573663,-1364.9442399699
1994,2080.0833333333,-629.2511698297,-1228.3834504681,-1898.3191048696,941.1712732946,1323.7038971683,434.790031063,-2046.2920792629,1772.6338247088,1982.6219102186,-1678.6365813443,850.3712422807,-1854.9779804451,-1604.541886718,2034.1347798264,373.4104979201,-1088.3547202587
1995,1609.0833333333,-1294.9798669807,-502.7020253839,-1573.1191665302,943.4669371347,1171.3948791508,170.101942082,-1602.4574677528,1433.0502604071,955.0792206543,-1528.5417388105,338.2975931136,-1303.4643501625,-1103.1696200994,1600.0670307556,145.8740472262,-731.7896724867
1996,1993.5833333333,-1993.5277298519,-7.4448026803,-1993.5771551432,1407.0416966815,1611.0906154887,2.4816060205,-1993.5821985632,1841.1177831352,14.8895015379,-1993.5694324145,4.9632081957,-1412.3059763181,-1174.2067686862,1993.5817887852,2.1270910204,-764.6305091791
1997,2087.0833333333,-1697.9877315221,637.2106973417,-2042.5950563965,1686.0944022387,1827.3568827847,-215.4654744077,-2078.888189839,1984.3054661035,-1213.5709719164,-1987.4303427972,-428.628365676,-1230.0416688133,-1008.3073257777,2075.9314703564,-184.7721148489,-646.8760758208
1998,2489.5833333333,-788.490560332,1455.1653198379,-2277.0752456495,2215.940037673,2313.2672383657,-514.3231441886,-2450.0878209475,2420.2058341252,-2361.4207185248,-2020.0294714563,-1006.4559102421,-1134.7400244325,-920.2281551414,2435.8770241872,-441.695419102,-583.6342125657
1999,2061.25,620.4240215961,1662.4681315765,-1670.9819466577,1959.0193973915,1995.6255203208,-634.2081775537,-1987.6269591125,2035.5319078036,-1965.6616178596,-1218.5857680084,-1206.884790046,-641.0885766756,-515.975140045,1961.257644988,-545.976770485,-324.594231023
2000,2257.8333333333,1814.9529789605,2144.2565955875,-1515.6688634032,2229.2583270954,2239.5314027083,-915.3370087087,-2114.851527872,2250.6782445118,-1343.0402247413,-707.0891127649,-1673.4871549017,-358.0763496615,-286.8979912697,2063.9693606251,-790.7049868116,-179.6073517206
2001,1661.0833333333,1661.0151383386,1661.0662844971,-834.8829518682,1661.0790711188,1661.0806055156,-828.3681801124,-1497.5160777666,1661.0822677793,-15.0515941959,-7.5258743412,-1436.0251728147,-3.762946826,-3.0103583878,1439.7930401468,-718.7791295719,-1.8814746199
2002,1652.4166666667,1345.8846662004,1573.9191678925,-515.5359972349,1632.6743559708,1639.7725060095,-969.1750528621,-1419.6494973557,1647.4736958937,958.6841531832,503.2487389141,-1569.9374114381,254.667013241,204.0268825751,1338.3499382403,-845.62175051,127.7155496256
2003,1975,628.4966181948,1603.4191312528,-212.7924923479,1879.810866048,1913.9008516493,-1319.1587902169,-1599.4154228757,1951.0575927487,1872.3292982053,1153.1140834855,-1963.5030825543,605.7525137281,487.4510540106,1469.8452592683,-1158.660996611,306.5930034714
2004,1955.9166666667,-585.7479295563,1157.5698400226,197.952788303,1744.9527428953,1820.0041685416,-1451.3423381132,-1474.7850436723,1902.4447638919,1866.1482711631,1576.5919168937,-1945.8737627471,883.6005500263,716.3761815105,1311.1885541541,-1284.7642125718,454.2179292861
2005,2253.5833333333,-1809.3993602628,707.4622246613,689.0074135514,1826.6038047066,1977.0701137238,-1820.9027244749,-1559.7706223062,2144.1830298703,1343.3956213112,2139.6576924721,-2145.6716021677,1319.9077168155,1081.5875395445,1327.7616910717,-1626.5772179851,693.6259616637
2006,2471.5833333333,-2471.4430604137,13.1661727582,1228.1823603017,1752.3220974986,2002.643945481,-2138.2562084122,-1543.9462959106,2284.7028542483,26.3319718955,2471.5482648546,-2144.8291921397,1743.0121744351,1448.4962551692,1239.5904810855,-1930.0139919065,942.7921517497
2007,2500.1666666667,-2038.6801719982,-759.5370797687,1666.1312049161,1475.104076358,1826.2945597723,-2282.1523899529,-1380.603314131,2229.2195274003,-1447.2790046887,2382.0026837869,-1864.0923177558,2018.6384829937,1707.4781234492,1021.0846341726,-2084.4106721378,1131.9954327507
2008,2087.0833333333,-667.3148226083,-1217.2048299127,1683.8567716662,952.7614933744,1333.9851072455,-1983.7169964668,-991.9666337722,1781.0684256565,-1977.5256680521,1695.3846885928,-1233.1030827922,1856.9228247347,1605.1169969585,648.6784397576,-1836.2785839192,1087.9853415405
2009,1928.9166666667,574.730276427,-1553.9186458729,1759.1037033626,601.3900282996,1037.3440399354,-1885.9856784657,-761.0532049045,1562.170086082,-1841.3051393788,1142.8282237297,-791.3745432858,1832.7710006453,1626.2339468094,404.6943631516,-1772.4326577473,1131.5229246883
2010,2650.5833333333,2125.6310092054,-2515.9246940996,2590.4500780019,422.4475972485,1134.2818098653,-2635.5071437513,-823.3697163835,2018.0838148375,-1583.4408165917,834.095282665,-561.391485796,2616.7021294987,2395.620333599,282.3014385019,-2519.4551627459,1718.409067491
2011,2610.75,2610.5542187585,-2610.7010542308,2610.7282462871,7.993283647,812.8453530659,-2610.7445615661,-585.398715532,1848.9029217054,-31.9723853089,15.9864923657,-10.6576985787,2610.737763529,2480.9873023656,5.3288603899,-2544.2727657139,1843.2508100118
,,-27.8908097953,-70.3470716755,-24.7540311343,402.2731165493,116.0969880815,-351.6137563171,61.2703381,-83.1867942198,-5.2912061937,-73.1019649853,-156.5698768336,36.6140539044,-273.5339908664,453.6004993811,-111.1054307261,-451.1482382437
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,805.8941340211,,,,,,,,,,,,,,,,
20,10292.6077780288,,,,,,,,,,,,,,,,
30,25126.8883890833,,,,,,,,,,,,,,,,
40,163164.249241563,,,,,,,,,,,,,,,,
50,88299.3548008696,,,,,,,,,,,,,,,,
60,329385.646670208,,,,,,,,,,,,,,,,
70,16098.4710677297,,,,,,,,,,,,,,,,
80,210454.775602945,,,,,,,,,,,,,,,,
