Year,Annual_mean_shwbl,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1942,1849.3333333333,1485.4927577178,1756.0189422456,-565.7668900587,-1825.8557092001,790.6632649691,-1089.436140647,-245.6940135489,-147.3396635279,1101.5194254055,580.0269409713,-1760.6651027072,-293.7425862199,-1671.7910692446,1494.377018436,-1832.9397779207,1843.4545834734
1943,2161.1666666667,648.4598126313,1742.4223214885,-219.1582083514,-2053.8143053315,1161.4443233448,-1448.6207140753,-94.0569570433,-340.5923846078,2061.5870664402,1278.5170373092,-2150.0258232922,-672.6724019366,-1822.5499841929,1603.7890721237,-2159.1189522449,2134.1598320319
1944,1977.5833333333,-628.1868171893,1155.1069345269,212.6751966804,-1759.9937588264,1263.328623923,-1471.6349351395,91.2906714481,-463.8434628471,1875.157903481,1605.1678448329,-1966.114213619,-901.8080777914,-1521.4587172364,1321.0323455368,-1975.4750956629,1922.4164695122
1945,2181,-1775.6488105633,664.8574825335,680.0312538309,-1761.649109415,1592.4987195489,-1766.3393168649,295.4722140464,-676.241189357,1266.4250082596,2077.1917407691,-2072.2737497284,-1285.827910452,-1490.2042907719,1279.3773554731,-2160.8926791321,2073.5136492961
1946,2105.5833333333,-2105.5080238091,-8.9042259382,1057.9283485369,-1485.7207987841,1705.5437769752,-1824.9708863638,471.0163141883,-807.8280205912,-17.8082926388,2105.5645058681,-1820.5133295236,-1492.017051401,-1234.7475849064,1050.2201852637,-2052.2243555176,1944.4523812011
1947,1743.75,-1402.3344474416,-545.59296631,1170.3079574238,-1022.0778657952,1529.4252319411,-1593.9555456878,540.776323001,-793.2262552449,-1036.3986491784,1656.1981697892,-1292.6884184871,-1412.806037201,-837.5694134828,707.0854127128,-1657.7771354985,1552.8863997377
1948,2234.1666666667,-673.7569709464,-1320.2680274327,1810.896060264,-1010.3964262825,2078.5595187998,-2125.7168566256,880.3781135563,-1169.2105624577,-2130.1531021374,1802.3298893887,-1308.4938491888,-1992.6363833375,-819.2014533993,687.6252903307,-2053.3959850978,1903.7981392685
1949,2199.0833333333,695.225265983,-1783.9318656103,2011.1930700459,-675.630325503,2130.8132597424,-2151.5980883285,1044.1515014992,-1294.2565662642,-2086.2956014149,1285.906141911,-889.4211274439,-2092.7233859746,-543.6932582351,454.5252173922,-1935.3850130817,1777.8828554284
1950,2502.25,2034.8760312912,-2382.5431383081,2448.808569938,-386.9990275624,2482.9670280126,-2488.8537830322,1380.6243390802,-1626.789283494,-1456.2055486011,764.6850702092,-514.3847298453,-2472.1421510839,-310.0480612781,258.5766988463,-2086.8951810859,1901.2658124547
1951,1823.0833333333,1823.04037291,-1823.0725931958,1823.0785599363,3.128910803,1823.0816149099,-1823.0821399837,1138.0711949324,-1290.2203504468,12.5155510471,-6.2578123896,4.1718794777,-1823.080648297,2.5031290848,-2.0859411043,-1424.2284913394,1288.0078755856
1952,2465.8333333333,1985.3699219639,-2342.6401089747,2410.8244615142,389.7268011469,2445.9827596022,-2452.0425512004,1705.7114120986,-1876.3442334682,1462.4090743492,-769.6566426666,517.9376830687,-2434.840251073,312.2536909412,-260.4253345594,-1780.6972248011,1599.8957295112
1953,1817.6666666667,550.9126327532,-1467.1890880034,1658.9827292043,564.3808165372,1759.9969015575,-1777.5530538583,1369.8963871718,-1471.3545304645,1732.1684046836,-1072.9717103238,742.7573057958,-1727.8270761381,454.2279357541,-379.7594657549,-1194.6949399428,1067.2525271897
1954,2017.9166666667,-634.9008374644,-1181.2727652856,1630.1892850895,918.7702848541,1875.3321876429,-1918.5376985891,1633.5296199849,-1721.3351713505,1915.4343111154,-1636.0263835298,1189.3151678132,-1796.6215064059,745.0616481888,-625.4604485527,-1184.7230284937,1053.0873190211
1955,2239.5833333333,-1819.192549237,-686.1123062404,1495.469400654,1318.9252861883,1961.3541570209,-2045.111470331,1923.4844612398,-1996.1934520236,1306.2434595989,-2131.8966696747,1667.1247039895,-1810.0192254221,1081.121351968,-912.8266981552,-1147.1447311972,1015.354720796
1956,2278,-2277.9683373644,6.0053094833,1135.5310716832,1612.9110476097,1841.5277542458,-1971.8042221902,2053.1509585828,-2105.1716517252,-12.0105772316,-2277.9920843273,1974.8045941921,-1608.6646488621,1340.9174211496,-1140.7331455485,-986.8409908747,870.3656224671
1957,1565.6666666667,-1262.0764483271,487.5044026367,481.3580936256,1267.7897113033,1140.2594267814,-1265.8906811078,1466.2206943963,-1489.3367991226,-926.5393406053,-1487.834523232,1489.8343856994,-918.7063508134,1072.9028617481,-921.3212765348,-549.0983394942,482.8954440563
1958,2257.9166666667,-687.7731063736,1331.4002617254,232.5466198687,2013.0050316089,1437.6367453748,-1676.7913648379,2176.9451069522,-2195.8352948895,-2150.6175456739,-1823.6120795522,2245.9095581076,-1022.7406398147,1741.088240716,-1512.13702832,-599.2475906737,525.8279484097
1959,1809.25,566.5117714121,1466.0059660396,-191.7070865013,1721.3013763657,968.1253820983,-1209.6568761941,1780.3734949776,-1787.1275944501,-1718.2694711109,-1060.2886729737,1799.0647446618,-557.2316701529,1528.4367199976,-1345.4054423765,-321.9561785107,282.06475082
1960,1877.75,1523.5325112523,1787.0028309301,-582.6362756504,1854.9244766673,798.1481477364,-1102.701182528,1870.2865681292,-1872.034922025,-1097.6309715279,-576.685308247,1785.0714363286,-291.8908158208,1699.6777920433,-1519.8668246104,-167.2519523818,146.3909601683
1961,1781.6666666667,1781.6546040175,1781.6636510018,-892.7252642862,1781.6659127503,549.3180727893,-889.8868650681,1781.6664204899,-1781.6664781876,6.5561493779,3.2780802375,1541.8747399242,1.6390408123,1694.8704275012,-1543.514651207,0.9365948388,-0.8195204928
1962,1842.3333333333,1486.8306645693,1751.2038438556,-1234.2948372814,1819.4083277411,344.0021884258,-748.4014929255,1834.8371298234,-1836.5931395185,1087.9001268534,572.2562436326,1367.7384127718,289.733408597,1809.9322101861,-1683.4747745356,166.0265585156,-145.3194790269
1963,2188.6666666667,669.9984895939,1768.7092947499,-1771.972407535,2081.0306165721,136.0982149791,-675.2795107039,2153.3238174666,-2161.590169364,2083.5939627768,1289.1583333491,1284.6694379149,677.9183952864,2184.4310594884,-2081.8884120436,391.7375587163,-343.2050662314
1964,2387.8333333333,-744.0648969062,1400.9006147443,-2182.2753278749,2126.8362904031,-151.2316934522,-495.3979498177,2301.5352547135,-2321.6673552153,2268.9458911507,1933.7077068127,969.2380621531,1085.5023821264,2383.0394463108,-2335.8786139468,636.1473878658,-558.2192396407
1965,2097.0833333333,-1699.5364553023,645.6349325035,-2051.6060020524,1695.834420472,-393.9452925625,-218.3686716011,1963.109192016,-1994.2498096037,1228.5496913202,1995.2228048204,434.3631191605,1233.654783676,2059.748919993,-2085.6830128779,737.5369869821,-648.6341062878
1966,1992.3333333333,-1992.3289938834,-2.0791381337,-1992.332851172,1408.0571321688,-616.4557560898,0.6930461564,1794.7724839196,-1840.4770130008,-4.1582740032,1992.3322484705,-1.3860922289,1409.5273050423,1894.5644385702,-1992.333212793,864.9762089654,-762.9131508414
1967,1918.8333333333,-1550.3716029967,-594.5656608935,-1876.6667008557,1127.1754415647,-817.6135821415,201.1352032247,1646.9714492223,-1709.5003905966,-1130.6057021493,1824.3938818131,-400.0543150755,1552.86731083,1735.9232101129,-1908.262558228,984.5843826497,-871.5100548249
1968,2042.1666666667,-628.2471787215,-1201.5530049965,-1865.2103743531,926.4645701287,-1094.747635529,425.073077023,1651.8988448378,-1741.0398842946,-1943.1289655793,1651.2768001242,-831.5256784069,1819.9198044806,1723.9409238568,-1997.4377521302,1200.6976725505,-1067.3447501815
1969,1979.6666666667,613.8806994796,-1602.2420649173,-1601.1449661123,611.2180066323,-1262.2321959061,612.1057070464,1490.6199109132,-1601.419374322,-1882.0814535821,1162.7125511152,-1164.2228775473,1882.9478642489,1525.0737669796,-1882.659479171,1302.7403395536,-1163.8453929356
1970,1991.1666666667,1611.8386762305,-1893.9620031298,-1331.9494965168,311.0873558016,-1451.7196487358,810.1269207034,1375.8537452156,-1513.9635840631,-1169.0683368615,614.5344784022,-1480.0862249117,1966.7153712485,1362.8113427467,-1818.9115060377,1439.3648481955,-1293.3131718867
1971,2253.5833333333,2253.5830578147,-2253.5832644537,-1126.4699620235,-0.2785911381,-1823.3182074009,1126.9525075089,1404.9617588533,-1593.4255570832,1.1143645097,-0.5571822719,-1951.8461171251,2253.5833161134,1324.4427336953,-1951.5675458711,1762.0216503885,-1593.6225507665
1972,1613,1304.7775693033,-1534.0103029781,-498.3544362855,-252.3988721214,-1413.5100198443,948.1358801014,888.562992998,-1047.5327248512,948.327208638,-498.5793721735,-1534.083392725,1593.1301922165,777.0189340034,-1304.9166076284,1346.1889939657,-1226.5578626245
1973,2029.5,627.4251791542,-1641.9850259813,-212.2364401234,-627.0811908242,-1886.9600734145,1357.9647261195,961.7528512928,-1192.9394312417,1930.0797637827,-1192.7931188824,-2018.3721023349,1930.1915527,747.1625869511,-1508.2446925533,1787.1490433174,-1641.8787298059
1974,2446.75,-755.0142568831,-1438.6198993256,255.3810038332,-1110.5499367037,-2369.8247244106,1818.1637761254,961.7821973474,-1278.5436059968,2327.345920658,-1979.1307050734,-2433.3857288521,2180.1982480012,608.7005323409,-1637.3350438092,2249.7912275066,-2086.1236324976
1975,2079.5833333333,-1681.4647583097,-643.3975261491,642.1125803401,-1222.0204720442,-2063.1445314557,1682.25941229,642.8468683115,-944.291648174,1223.6597185657,-1977.5506222656,-1977.9682187656,1682.656473016,260.9626076702,-1222.5670165841,1977.7296944173,-1852.830300774
1976,1850,-1849.9988844752,-1.0158053196,924.4134625353,-1307.788354467,-1849.999955379,1601.9776692717,411.9466761833,-708.1989636522,2.0316103329,-1849.9997211188,-1602.4854914424,1308.5066373239,0.406322145,-925.2932222571,1803.5520330674,-1709.0799360714
1977,1973.5,-1598.236797891,608.5153775223,1319.8365294101,-1596.1840977062,-1958.0083671561,1802.6923809667,265.3051377638,-610.1774058325,-1157.7311379881,-1877.3415473267,-1467.2197468801,1160.5595961561,-246.7903647766,-803.1204328148,1955.5857009797,-1876.8020096461
1978,1560.25,-484.7179208065,915.9964319149,1261.7380993853,-1389.8855160399,-1511.3664463274,1483.7464291559,70.3867301875,-364.5621936643,-1483.0470659251,-1263.0639727343,-917.8218950644,708.9416864612,-387.4939062949,-482.5728923873,1558.6615318001,-1517.0611291081
1979,1898.0833333333,582.8313563684,1534.435209441,1733.4564864517,-1804.8831315902,-1765.080107911,1856.4704692332,-84.600856995,-297.4069178684,-1806.3853271967,-1117.241660656,-773.2069256391,587.4667833835,-698.0061267172,-395.2691957927,1896.1969927393,-1874.6384892778
1980,2042.6666666667,1649.6991103278,1941.9413603154,1997.6930416592,-2017.328183074,-1790.4691399464,2031.3921454929,-273.5078099417,-160.8696301649,-1204.5662939394,-633.522583818,-426.2741165234,320.7399458857,-983.2127796214,-214.3199998624,2024.272854388,-2036.3221928766
1981,1961.1666666667,1961.1595667371,1961.1648916835,1961.1658777852,-1961.1662229209,-1587.2372984818,1961.1664694463,-435.6656288879,-0.6596436808,-5.2771431776,-2.6385739769,-1.7590496127,1.3192872869,-1151.8908163332,-0.8795248948,1912.1637362554,-1961.1665557302
1982,1682.4166666667,1364.0734548291,1600.8537964536,1646.0018824625,-1661.9008617135,-1227.1219163404,1673.288206003,-519.2074101216,131.369958863,984.7991927842,517.4871618291,348.1431360917,-261.9377141876,-1150.9551002167,175.0211985135,1600.2966929769,-1677.2798735412
1983,2054.4166666667,641.3483747357,1664.0649972995,1877.7287926101,-1954.3938580986,-1310.5877561083,2009.7593347583,-806.5389869378,320.5374587854,1951.7428371847,1204.7885810551,833.5240978405,-633.2238843447,-1582.0833017945,426.0226010787,1889.4768331015,-2029.2569028571
1984,2474.0833333333,-755.9487455545,1457.87656337,2003.3415575656,-2205.4473976688,-1327.2032165191,2353.4572758842,-1171.2554981079,576.4666907818,2355.7652332888,1998.9207753821,1451.7957652536,-1121.2003016381,-2087.9702972837,763.1036566976,2179.2771504399,-2405.9872183153
1985,2182.1666666667,-1760.3104367472,678.4396078709,1462.2965006355,-1766.6804548013,-930.6868285337,1994.0945365731,-1201.1172841446,673.2979139996,1289.6350365084,2074.0229168414,1619.7346404089,-1280.8948168115,-1973.7460293323,886.2495925644,1821.8585649936,-2075.6977814978
1986,2121.4166666667,-2121.397204651,4.5435143114,1063.3304524337,-1501.6736264243,-657.2820182533,1837.9575100609,-1321.6664766553,810.781479383,9.0870077815,2121.4118011572,1835.6843471954,-1498.4608748022,-2017.0247946151,1059.3964625305,1659.3994088515,-1960.3678395395
1987,2618,-2125.0657051674,-803.2751657657,812.8249971647,-1541.2575411049,-492.9310029121,2119.1861459741,-1807.9575856366,1187.2050701937,-1529.058451702,2491.7208928899,2488.6220130796,-2116.2346731843,-2571.1754172689,1537.1968249744,1893.4659670929,-2333.3384069411
1988,2360.8333333333,-740.5767561946,-1382.9598215172,250.6249233756,-1074.3827024108,-150.5566081948,1755.735985427,-1776.7839245821,1232.2937010245,-2241.6690424686,1913.3625270311,2347.492529394,-2102.1978585609,-2356.027745063,1578.2665102112,1554.533020918,-2013.6996454767
1989,2216.5833333333,673.9081126929,-1789.8345125184,-227.8459605298,-687.7224453724,136.8623603007,1484.6215199392,-1792.2779625548,1301.7003424827,-2111.6556369962,1307.5680064184,2204.8419199301,-2107.197074728,-2212.3540331384,1645.9467233615,1304.2167682373,-1794.1064327378
1990,2090.75,1684.5963953722,-1986.6184178302,-642.3925588349,-329.9341642067,389.4844951469,1230.4782241299,-1793.9498699544,1356.7287327769,-1238.2934010964,651.6002029142,1989.6148780238,-2064.5529806206,-2054.1512579506,1690.3132557139,1073.7687956868,-1590.7616754742
1991,2256.9166666667,2256.8777023664,-2256.9069255706,-1124.6277808324,-3.3154820283,694.9025543047,1130.371986985,-2032.5889181947,1594.7084488442,-13.2618565634,6.6309569016,1956.7537389406,-2256.9142313914,-2147.2734526135,1953.4410693229,980.9460382253,-1597.0528493018
1992,1580.25,1284.1784340074,-1504.4123491982,-1054.9664792243,244.7881202995,671.0657191431,644.2357036465,-1478.9931969262,1200.8364771282,920.9103170941,-483.6667717344,1176.5355031673,-1561.1754669672,-1430.685452184,1442.9658418158,556.5691205466,-1027.2204328665
1993,2091.4166666667,659.2245889769,-1695.9859914035,-1689.3187435001,643.0436628864,1118.3358870356,648.442093846,-2015.5294203964,1690.9902287663,1984.8039235399,-1223.7872325589,1232.9743940855,-1990.1051533105,-1767.2997814122,1988.3527163308,558.2694950718,-1230.6809984022
1994,1530.0833333333,-462.869305286,-903.5835316712,-1396.3798359245,692.3138395482,973.7000623335,319.8261191598,-1505.2269086714,1303.9273128271,1458.3919271473,-1234.7841140203,625.5224702342,-1364.4986458456,-1180.2809816125,1496.2841509712,274.6761008097,-800.5801457742
1995,2629.1666666667,-2115.9363407345,-821.3915221329,-2570.4029055895,1541.5807067483,1914.0042693671,277.9385919876,-2618.3403132013,2341.536885175,1560.5546331579,-2497.5654803187,552.7623938441,-2129.7995881521,-1802.527397283,2614.4344513097,238.3513485933,-1195.7099884488
1996,2192.9166666667,-2192.8555035344,-8.1891895888,-2192.909870735,1547.7282217187,1772.1794735855,2.7297355026,-2192.9154184338,2025.2064734024,16.3782649739,-2192.9013758303,5.4594667755,-1553.5188633036,-1291.6127207281,2192.9149676831,2.3397734483,-841.0839714521
1997,1927.5,-1568.1555691797,588.488058675,-1886.4134020544,1557.1716320136,1687.6328488245,-198.9904740687,-1919.9314765812,1832.5807718497,-1120.7784619855,-1835.4667130725,-395.8544259567,-1135.9897703994,-931.2097602411,1917.200834871,-170.6440014556,-597.4143994305
1998,2653.3333333333,-840.352784635,1550.8774488247,-2426.847726242,2361.6914075149,2465.4202132072,-548.1522648022,-2611.2400408023,2579.3925944284,-2516.740943191,-2152.89500824,-1072.6546002379,-1209.3764812696,-980.7552957222,2596.0945422634,-470.7475194714,-622.0222034508
1999,2451.4166666667,737.8618735918,1977.1507995386,-1987.2761643351,2329.8351976174,2373.3703630999,-754.2551833069,-2363.8577827456,2420.830488452,-2337.7347003266,-1449.2475252679,-1435.3317108867,-762.4379486584,-613.6422354843,2332.4971151249,-649.3227676312,-386.0355162322
2000,2238,1799.0100097057,2125.4209467446,-1502.3548754543,2209.6760032655,2219.8588377919,-907.2964754515,-2096.2741799856,2230.9077631435,-1331.2426469201,-700.8778774789,-1658.7868543604,-354.9309236919,-284.3778125614,2045.8389735347,-783.759250233,-178.0296389536
2001,2104.1666666667,2104.0802810942,2104.1450701627,-1057.5826285393,2104.1612675338,2104.1632112211,-1049.3300831705,-1896.9688939753,2104.165316883,-19.0665104825,-9.5333530886,-1819.0756842208,-4.7666887753,-3.8133521944,1823.8486060155,-910.5088557513,-2.3833459165
2002,2032.3333333333,1655.3247889099,1935.7880209067,-634.0658581151,2008.0519538764,2016.7820806172,-1192.0036910182,-1746.0493187508,2026.2538955799,1179.1007679576,618.9535652144,-1930.8907958117,313.2189782098,250.9358824067,1646.0577080943,-1040.0435347944,157.0793698255
2003,2082.75,662.7854843266,1690.8968079072,-224.4018042722,1982.3676360818,2018.317467733,-1391.1280862401,-1686.6746693642,2057.5013677455,1974.4778966263,1216.0244847491,-2070.6258456658,638.8005306163,514.0449026535,1550.0355512613,-1221.8740206033,323.319786319
2004,2074.9166666667,-621.3854415245,1227.9975905042,209.9964413939,1851.1174788185,1930.7351110953,-1539.6435122781,-1564.5124963741,2018.1914778298,1979.6866688122,1672.5134054253,-2064.2627420494,937.3597245582,759.9612519037,1390.9626266407,-1362.9306006913,481.853019526
2005,1948.0833333333,-1564.1137760184,611.5573133863,595.6042712196,1578.9859535786,1709.0547664283,-1574.0577225178,-1348.3251798119,1853.5135410006,1161.2823813701,1849.6016668609,-1854.8003196344,1140.9785414338,934.9654961333,1147.7678161514,-1406.0753475886,599.5967202533
2006,1793.3333333333,-1793.2315540006,9.5531217424,891.1455003099,1271.451213398,1453.0799321202,-1551.4775820166,-1120.2577392358,1657.7364517827,19.1059723926,1793.3078883196,-1556.2468125981,1264.6961122709,1051.001025363,899.4230133504,-1400.3810346211,684.0718535909
2007,1920,-1565.601998628,-583.2855915562,1279.5034651445,1132.8044103489,1402.500721857,-1752.5761970707,-1060.232663075,1711.9264686122,-1111.4361798556,1829.2561107409,-1431.5274648721,1550.2110075387,1311.2557817568,784.1407229964,-1600.7206814897,869.31453805
2008,2171.8333333333,-694.4124139277,-1266.6317539303,1752.2329879482,991.4501912687,1388.1541171903,-2064.2696091802,-1032.2473311788,1853.3921065866,-2057.8268700648,1764.2290179319,-1283.175585695,1932.3267182366,1670.2958344872,675.0192652012,-1910.8441786425,1132.1650617381
2009,1794.25,534.6056759731,-1445.4323395813,1636.2924714692,559.4041862582,964.9222155721,-1754.3162242643,-707.9205320257,1453.1077082745,-1712.7550419477,1063.0420566434,-736.124996392,1704.8167112323,1512.6989721671,376.4407626482,-1648.6908693981,1052.5260332425
2010,2318.1666666667,1859.0500020146,-2200.3959235535,2265.5748819398,369.4673266973,992.0285278974,-2304.9812218969,-720.1087424264,1764.9905857563,-1384.8573155579,729.4891870712,-490.9858946733,2288.5345942213,2095.1792511101,246.8972684078,-2203.4836267887,1502.8988411188
2011,1843.5833333333,1843.4450822431,-1843.5487702368,1843.5679719304,5.6444640468,573.991437514,-1843.5794929786,-413.3798009421,1305.6043709307,-22.5773270832,11.288875183,-7.5259429173,1843.5746925389,1751.9512940162,3.7629792973,-1796.6403777933,1301.6131274503
,,14.3656739246,-22.2075051032,-101.5387356941,413.1947710881,75.4675314397,-219.4830429829,-66.7989559455,67.2748336665,-25.3858199802,18.1175799782,-213.9188180396,-28.154826954,-262.7291295943,467.014813734,-14.7012806801,-511.4324180614
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,850.8124433743,,,,,,,,,,,,,,,,
20,821.419987172,,,,,,,,,,,,,,,,
30,56071.3755578357,,,,,,,,,,,,,,,,
40,171522.613135395,,,,,,,,,,,,,,,,
50,74721.9438389707,,,,,,,,,,,,,,,,
60,266275.642404067,,,,,,,,,,,,,,,,
70,4678.2281690411,,,,,,,,,,,,,,,,
80,266089.021488929,,,,,,,,,,,,,,,,
