Year,annual_mean_westrajasthan,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,277.3333333333,277.1882501115,-277.2970601557,-141.2482764581,2.2427395357,-225.4172879058,137.3697973356,-60.4623703369,-196.8956122023,8.9694915066,-4.4853324021,238.6686032459,-277.3242648906,161.5574946914,240.9218058992,-270.6622979859,195.3097429041
1872,255.0833333333,201.4594829961,-241.3052666216,-172.6981481359,41.9198949408,-224.3138297056,102.5063111653,-33.0837245236,-194.6285866451,156.4659185106,-82.6999107925,187.7308088058,-251.6152407001,121.4529239963,233.5807421765,-252.9287925802,164.885476028
1873,288.4166666667,80.3840960043,-230.6168756116,-235.1128456171,91.2973796725,-268.8309985766,87.6747123968,-11.634404184,-234.004123395,276.9883945596,-173.2051682089,167.0512599083,-273.5853835205,104.470415982,274.767753598,-288.1819117336,168.6008417692
1874,211,-71.4689442195,-121.3281763847,-193.6455567093,97.2644713727,-204.696466549,42.7889444503,10.4116715639,-180.3382980119,198.5275547932,-172.6281368003,83.7997515913,-187.244819978,51.189418656,206.6158421632,-210.7429645213,109.540395609
1875,281.3333333333,-232.6311620358,-82.7693910564,-275.776606944,167.1266821315,-279.3286769896,27.9579358816,39.0014696608,-251.1640410344,158.2124738898,-268.8822648457,55.6390825488,-226.3119894397,33.5251346856,279.9407049103,-278.6168153732,126.7480529859
1876,255.75,-255.6290571604,3.9326283339,-255.7365609651,182.2276491046,-255.7451619203,-1.3109220351,58.0046561296,-236.6566962485,-7.864326753,-255.7197625026,-2.6218096271,-179.4467787446,-1.5731034111,255.7466402192,-249.0853716445,96.9622123342
1877,144,-113.8687212092,46.5773772655,-140.5422630097,117.1391103053,-142.752007715,-15.778373278,45.0934998774,-137.120443195,-88.1471175375,-136.259120528,-31.3667388822,-83.7521870573,-18.9173014289,143.132955453,-136.757362759,43.9770856017
1878,293.3333333333,-82.2029743753,175.9709805067,-266.7620696178,262.3571980396,-283.6731620627,-62.4269066851,116.4467904882,-285.4842866686,-281.5796786849,-234.6884284832,-121.9936172825,-131.1988760669,-74.6591023906,286.6135477715,-269.2296221247,67.4030155834
1879,299.6666666667,101.0525254523,245.0328391988,-240.673881301,285.6818906211,-277.9606156659,-94.0164117267,143.1247231518,-296.1498362321,-282.1143353515,-172.5080253939,-178.5390544688,-90.4763421137,-111.9732434546,284.5365098492,-263.2782268511,45.7753821484
1880,221.25,182.7505780386,211.4061587218,-146.4222733469,218.7751986826,-193.2510269769,-90.9825107425,122.6625319736,-220.6304321807,-124.7148296177,-65.2610033212,-165.8676591983,-32.999620322,-107.7293046129,201.6773295118,-184.134368736,16.5461444373
1881,290.1666666667,290.0432911993,290.1358211604,-142.6337733211,290.1589551876,-233.7510198618,-146.3029867874,181.8594976478,-290.1647387905,8.4607136079,4.2308065502,-252.6901287203,2.1154594956,-171.9219449577,250.5835798722,-226.1057663125,-1.0577367754
1882,281.3333333333,222.7397363094,266.2823284844,-84.3602898357,277.5450769917,-203.9687887517,-166.4558243258,195.2552004728,-280.3846697885,171.8588208771,90.7863755272,-268.3873803726,46.0127665119,-193.7657804144,226.8058707186,-202.5434549245,-23.084223878
1883,197.5,55.648764004,158.1089511868,-18.7758455346,187.3936603242,-125.0210220595,-132.8495775434,149.2598989805,-194.9570438764,189.4979289196,118.3545924525,-196.6054872695,62.3687908357,-152.8920993485,146.1411637648,-129.3357358054,-31.5911545054
1884,317.6666666667,-106.6459866283,183.0768090523,36.1741068812,282.0190692017,-168.6985225575,-237.0689974076,257.7480349813,-308.6261239436,299.2302535627,259.6054566036,-315.6002932547,146.2099713349,-269.1708000472,211.4483425787,-185.6826905622,-75.2464399869
1885,167.75,-138.4092693004,49.608001244,53.3184277616,135.021858802,-70.5767711267,-136.1694326143,144.3464217296,-159.3580548859,94.7783555023,160.2470240366,-159.0509596357,99.5447645316,-152.1807539649,97.9691182031,-85.4644547977,-52.393442748
1886,230.3333333333,-230.2458026915,-3.1749979925,116.9949217779,161.7438353902,-69.9679592223,-200.0015934444,207.915158771,-212.4952248828,-6.3493926793,230.3114496333,-198.4077436055,163.9889513281,-219.4491492959,114.2488821133,-99.1197820703,-88.877577861
1887,143.9166666667,-114.0828603129,-46.333475827,97.2665690311,83.796919837,-26.1964144271,-131.7389223759,134.9356446774,-128.007383233,-87.7331632126,136.2542328232,-106.0717751967,117.0046288413,-141.5123839656,57.9384438495,-50.0437682429,-65.7732223803
1888,208.5,-59.0667281156,-124.8135352994,169.7734541663,93.4040360211,-11.9707682532,-198.582495696,201.1981843351,-177.4077105292,-199.958424753,167.0144646612,-121.0339797761,186.4079828091,-208.1560729535,63.539298101,-54.6949780167,-109.5388252849
1889,242.4166666667,81.0195277276,-197.9978839842,222.3246301307,73.3752452646,16.5090362017,-237.3405106929,238.6837770071,-195.64409351,-228.4768618583,139.8666443995,-96.6312533038,231.0452632281,-241.8538649712,49.348984405,-42.3779998514,-143.140591561
1890,206.8333333333,170.4703006623,-197.5335013334,202.6826809866,31.0122173665,39.8246499556,-205.7930541772,206.0688764463,-156.8349260684,-117.1319955002,61.3232715103,-41.2281288183,204.495159238,-202.9631124951,20.7182680306,-17.7664272696,-134.8437382413
1891,173.0833333333,173.0249381646,-173.0687339254,173.0768446569,-1.1240360725,54.3401892293,-173.0817111566,173.0821415295,-121.9903446334,4.4956702403,-2.2480247388,1.4987065696,173.0796834428,-164.3319327224,-0.749360308,0.6423093678,-122.7851623527
1892,362.4166666667,287.6394958911,-343.2136270461,353.8395756419,-58.9894126482,155.9902763135,-360.2660127022,360.8361792239,-234.4857074293,220.4753062847,-116.4055260185,78.3798123714,357.583681777,-327.1282225267,-39.4238553347,33.8096441991,-276.3372817576
1893,449.75,128.0981133223,-360.4768986819,409.3072914046,-141.6872918045,242.9094935077,-439.5230465,442.228727413,-263.2025864338,431.1217181531,-268.9451022359,186.3936793538,426.8486544914,-378.5102910937,-95.3653715737,81.9073571218,-364.6909115875
1894,311.25,-103.5573888834,-179.7836549996,250.2719289831,-143.0365335874,199.5958629083,-295.6126692109,299.735543255,-161.7968501253,293.5173414087,-254.0755791,185.0419521705,276.4364530219,-238.8264097831,-97.4151543755,83.8759000526,-265.8915978167
1895,186.9166666667,-153.8863684187,-55.5603871816,123.9236440762,-110.7986414788,136.8868817117,-170.4424165953,174.7650367297,-84.3437239555,106.0981898654,-178.4681586559,139.9313071355,150.5373751739,-127.2785209414,-76.7282405828,66.2949637201,-166.8052052758
1896,221.0833333333,-221.0176092255,2.695413219,108.9817961995,-157.2796096399,179.4917897059,-191.0129564378,198.8538427025,-83.9819620907,-5.3904257742,-221.0669016957,192.3559418757,155.3736292596,-129.075705328,-111.3188696972,96.6177495091,-204.5112963167
1897,293.0833333333,-232.8953289625,93.9151237759,88.328820344,-238.1415522377,257.5074932806,-236.4165237178,251.0787454097,-89.7288146103,-177.9258441745,-277.6288706239,279.4563647055,170.8403973759,-139.9561759342,-173.2197090142,151.18632174,-279.0100000114
1898,211.1666666667,-60.4669484822,126.1403130578,20.4098688716,-188.7167064039,196.7047866362,-156.3669483744,170.4153652302,-48.6861544769,-202.3242675815,-169.3516534694,210.1780158907,94.7489621854,-76.8022657579,-141.9180699108,124.6994964086,-205.4775400704
1899,44.75,14.8217443749,36.5091465305,-5.0250661466,-42.6400446015,43.3957674325,-29.8135102759,33.6012158945,-6.8709716955,-42.2241446768,-25.8774944616,44.4669676302,13.5789946748,-10.9256518772,-33.3724003486,29.5553851338,-44.2193650787
1900,253.6666666667,208.611298966,242.140982297,-80.2434195573,-250.7686918462,251.8106881907,-148.3099744062,174.6932865092,-19.1718493214,-144.3194502536,-75.5944605777,240.6403361773,38.2340289213,-30.6293175033,-205.7934140575,183.9267066699,-252.941135388
1901,129.0833333333,129.0498080565,129.074951742,-65.3890840249,-129.0812379185,129.0819922665,-64.1165579819,80.1531210268,0.3677520439,2.9417656283,1.4709783272,111.2958877714,-0.735501103,0.5884020286,-112.0338071164,101.1829241231,-129.0828094785
1902,166.25,132.2692417874,157.5259088962,-112.1653345374,-164.0544800577,164.8437505479,-67.0506362131,91.140709946,13.5093521386,100.7169805792,53.1474413911,122.7110436274,-26.9293533714,21.5777757263,-152.1291381801,139.0411215812,-165.7002109377
1903,246.5,70.9606037931,197.8055090676,-200.4872267317,-234.0099442173,238.4817821663,-75.3065356082,116.1210381991,39.235180326,236.0653356792,147.0891926094,143.4124189791,-77.4699684227,62.3593583576,-234.7150947312,217.4354030225,-243.3574544262
1904,183.1666666667,-60.3916961248,106.0383942359,-167.8689051072,-162.7463163772,170.0079637465,-37.430201658,71.463339019,43.2453898971,172.9244656402,149.3515541454,73.280682829,-84.0456083532,68.1712552368,-179.3014438917,168.6505824302,-177.9883817288
1905,90.75,-74.548984539,27.1131163193,-88.8999410286,-73.1302871797,79.3359499324,-9.162228213,27.7778542142,28.2753332292,51.7495063184,86.6050889005,18.2308251351,-53.7356827165,44.0609753447,-90.2863005897,86.3941740817,-86.2326390109
1906,247.5833333333,-247.5277038316,-2.6242082106,-247.5771520718,-174.1375845823,199.6803258587,0.8747506298,54.3612339782,95.3518308554,-5.2481215962,247.5694255672,-1.7494903398,-175.9932060629,146.3737490446,-247.5817880131,241.541638615,-228.4853065231
1907,321.4166666667,-256.0303303719,-102.5091660716,-313.9202089581,-187.5640146051,233.3817822758,34.7094111771,42.194534595,146.6670945545,-194.3119747745,304.6318179088,-69.0128685019,-261.0142027483,221.0013966311,-319.5370563595,318.6350496437,-286.0025122024
1908,508,-147.0139303939,-302.8043290311,-462.6540198467,-228.2973946985,322.198980829,107.3213816485,21.3005322189,266.5416698128,-486.2621764749,407.8891250328,-209.7981361207,-453.8108632171,392.749050607,-496.5341086381,507.5532359538,-432.4575565919
1909,366.75,120.3691738264,-298.8736831847,-295.2456146422,-111.5653153807,195.2591673019,114.5081510853,-17.5136473345,216.3203447253,-346.4344447256,212.5560726011,-217.5674367513,-349.369064034,310.4503504339,-348.4156222603,366.3315911262,-296.1605492937
1910,252.75,207.3983530835,-241.1456989476,-167.871545363,-38.294824004,106.703520593,103.5688886913,-34.6402382668,164.626160942,-144.4592871305,75.7054448443,-188.9489527821,-249.8320815158,229.1220661417,-230.5559537189,250.3649663847,-191.7831839174
1911,115.6666666667,115.6444357756,-115.6611088104,-57.177445818,0.5669474013,35.3113310472,58.1603525243,-26.0540019277,81.9888855086,2.2676533956,-1.1338811815,-100.5460962321,-115.6652771943,110.1448486197,-99.9807540081,112.694129223,-81.5879919525
1912,229,182.6344006522,-217.0993755741,-69.3631964859,36.9137033737,42.0422698846,135.1976849002,-71.3647261759,174.4910285267,138.1509163865,-72.8619319352,-218.2424041594,-226.005262114,225.1076354612,-184.8312365312,217.5961301536,-148.3033410403
1913,183.0833333333,53.2629027588,-147.0902048481,-17.9857340983,57.4009666302,10.8025958292,122.9362005133,-72.4122795595,148.372280517,175.1644088682,-109.0136623647,-182.1977505717,-173.8523395711,182.7643588553,-135.6694422035,168.1545976577,-107.2621709579
1914,243.75,-79.6331557964,-141.4275093018,26.9853818131,111.6716327177,-16.2125098147,181.6476662621,-116.0769744368,208.1273924486,230.3749617426,-198.5253689398,-242.2516288251,-216.6645078137,243.2102321563,-162.5367276696,214.3366476028,-126.8741542337
1915,125.5,-102.8668094001,-37.6859749793,39.5102668357,74.2315975178,-23.9681839561,101.7565439858,-69.4116331761,111.9515866089,71.8934595345,-119.70805023,-119.1183815142,-101.1924894938,123.1900002348,-73.4564888629,104.5575209147,-56.7194169201
1916,348.5833333333,-348.5267785256,3.1395910083,176.1011819868,247.5931636543,-108.9118598415,302.4039329263,-218.0387656704,322.348561789,-6.2789273248,-348.5691943446,-300.8300416857,-245.3731150501,331.1322199117,-173.3845484132,271.9732283566,-132.6715681308
1917,601.8333333333,-480.5578601784,191.0335340462,405.3361298895,488.4535339644,-258.1737577244,550.5216413925,-417.0028395544,572.7874735167,-362.3085758464,-570.7096897555,-444.8662528416,-351.5913910618,543.6448030962,-243.1651362133,433.9492976312,-184.7102360278
1918,30.5,-8.9195734824,18.1411549906,24.7784432888,27.2355946072,-16.4321148913,29.0343978783,-23.0184230056,29.6726779674,-29.1666112,-24.5183297883,-17.7842275116,-13.7285245527,25.6950501109,-9.3409710334,20.010052532,-7.0556489595
1919,239.6666666667,77.9382701033,195.0888470833,219.497133223,228.250306457,-153.3984033557,234.5700933341,-194.2371181802,236.7953770931,-226.6401049339,-139.2136949256,-96.2347110871,-73.0883623665,184.1440766331,-49.1628154639,140.39961906,-36.9873018543
1920,214.9166666667,175.961398442,204.9465916114,210.4662763044,212.4095241802,-157.1591751206,213.8011741785,-184.7580270078,214.2889643871,-123.3967579374,-64.6998315143,-43.5100005711,-32.7317529113,146.5952498771,-21.8685054592,109.7890935718,-16.413815919
1921,191.25,191.2242153032,191.2435537172,191.2471349765,191.2483884225,-155.0928553933,191.2492837428,-172.5044817938,191.2495971052,3.1403792273,1.5702425403,1.0468348945,0.7851278861,111.9051772974,0.5234194075,82.575821286,0.39256477
1922,182.5,145.8992077952,173.1081387784,178.3057029727,180.1367332432,-160.2082856194,181.4483959595,-171.00992409,181.9082238615,109.6342609075,57.7911955983,38.9014946679,29.2746876409,87.4045491888,19.5634762693,63.7326906912,14.6849614082
1923,237.8333333333,69.915314929,191.3019692071,216.7595999077,225.9011724783,-221.4071229774,232.5052178151,-229.4045873516,234.8313472461,227.3247526839,141.3090620658,97.8773226661,74.3865224173,86.8537871326,50.0601451575,62.7553164798,37.6687243612
1924,222.3333333333,-71.9666210833,129.2894666183,179.1953619497,197.7087114788,-215.5183154779,211.2737717409,-218.8475204184,216.0895045614,210.3637719783,180.8766013962,131.6097768663,101.7023918916,54.6256972923,69.2495811213,39.2157355896,52.3205230238
1925,110.6666666667,-90.5061850745,33.3998001207,73.6342778357,89.2842529728,-109.8355412206,100.9850761043,-110.2423626459,105.185316878,63.6847043989,105.5062294986,82.6141890884,65.3867974611,13.5375402458,45.2672675928,9.6815592427,34.3970961623
1926,354.75,-354.7109994117,-2.6301576647,175.8543033006,249.9144994478,-354.748439949,306.7832105868,-354.7492040553,327.4940695487,-5.2601707499,354.7402497189,308.095482782,251.7743145473,-1.0520711624,178.1337256166,-0.7514799413,136.3642068523
1927,263.0833333333,-210.5728111774,-83.1102978091,80.0861199183,153.8634233595,-260.9120569552,212.4643071902,-261.9747914724,234.1919539323,-157.7083747637,249.6107342961,250.5973935902,213.3984236817,-33.7303841241,155.1507603847,-24.1256898502,119.8622917816
1928,226.6666666667,-66.9776418607,-134.5291398843,22.6264989806,102.1873428333,-219.3846404786,168.0869579713,-222.9415299208,193.0547100608,-216.545083686,182.4272137039,225.5345191355,202.3252943714,-56.9926074143,152.067591346,-40.924955887,118.7756570225
1929,254.4166666667,81.9681218711,-206.859730998,-27.7635382191,77.7794222456,-236.2898675447,169.8003731286,-245.1135980125,205.567776683,-240.8507157447,148.1110798327,252.8972641674,242.2358391175,-94.312983059,189.4615358409,-68.1701132986,149.8990642646
1930,173.0833333333,141.393405723,-164.9707280878,-54.2288736175,26.4967616692,-151.4474840129,101.4192439065,-161.9285870221,131.4229586298,-99.8285785525,52.3688757941,164.3687000129,171.0431580006,-83.7943904084,140.2568260128,-61.130785884,112.6314619579
1931,311.3333333333,311.3060634012,-311.3265157756,-156.8546969223,-1.0301778862,-251.3886560829,155.0715138293,-280.2457234609,219.781386529,4.1205987515,-2.060344493,268.9331673443,311.3316289392,-183.6632462886,269.9653126665,-135.6126060745,220.5098332951
1932,218.9166666667,175.4304432473,-207.7608659156,-147.182966931,-34.9441748681,-159.1956992578,88.6106721389,-187.7212328666,141.9060334569,130.9529172127,-68.9922425962,162.0545623851,216.1097211771,-150.270543628,200.1815569116,-112.6287959428,166.6948847835
1933,304.5833333333,90.4645261619,-245.2804454815,-247.1627616584,-95.0333395661,-193.5567636304,93.5129646697,-246.0904751285,178.6413104542,290.8387464743,-180.5782656047,177.9931914254,289.3780767704,-235.1739488067,289.8729590409,-179.472797369,246.6947286499
1934,258.8333333333,-83.0007298214,-150.8498241227,-236.8849719038,-118.2153366404,-138.1526775814,53.2961891227,-194.620946353,134.9011208454,245.1643801484,-210.3307514525,104.3082189023,230.2603496641,-218.8801775436,253.2868150327,-170.6381601081,220.8990313222
1935,198.75,-162.1779722572,-60.2855310745,-194.5700506459,-117.3026282718,-84.1931713815,20.3809339105,-137.1030227693,89.9657299503,114.8906776659,-189.3864230695,40.5469837553,160.4420639998,-180.0363085401,197.7022509557,-143.8899706287,177.2222613966
1936,206.5833333333,-206.5693311839,1.2026243571,-206.5817775233,-146.5010507804,-63.3800800134,-0.4008767984,-128.5337792662,78.7781638655,-2.4052079571,-206.5798327663,-0.8017520873,145.6506633398,-196.6205458964,206.5829443804,-161.7273668822,190.9729680061
1937,241.5,-193.7575919304,75.9269107393,-236.0314255828,-195.7787002505,-44.7151854905,-25.6968939927,-132.715382391,74.302402012,-144.153548584,-229.2539077651,-51.1020169595,141.3964303942,-237.3242553692,240.1289645985,-201.7644103325,229.7855588483
1938,160.1666666667,-47.8147412084,94.8552407467,-146.0795490025,-142.9090774538,-9.7050609807,-33.5878451171,-75.6761119964,37.1758694514,-152.8630486229,-129.0575236629,-65.6820102795,72.3212049984,-159.8723644114,156.605292923,-141.1612099135,155.7925410334
1939,104.1666666667,33.2462020238,84.5985829923,-84.0539464844,-99.1540388473,6.7628802424,-32.3656841345,-40.7938183724,16.1577958148,-98.7187140083,-60.7764279976,-61.5274615505,31.9244580958,-103.9468994019,99.0108930116,-95.8465378981,102.9058797099
1940,260.0833333333,211.9856292885,247.7672994584,-173.360645716,-256.985880363,49.2644558075,-106.1958701437,-80.0036822385,20.0698267725,-150.6832215376,-79.0866967121,-193.8799288083,40.0199646653,-255.374927649,237.4147793255,-247.4727280046,259.3078138643
1941,175.75,175.7411237609,175.7477809262,-87.3646038868,-175.7494452307,54.6456082764,-88.1298285681,-38.8620035251,-0.2207948242,1.7663293217,0.8831758121,-152.4975032179,-0.4415893,-167.038678144,152.0565546649,-171.399554206,175.7498613076
