Year,Mean_chattisgarh,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1942,3566,2864.4198850153,3386.065364842,-1090.94704215,-3520.7289792759,1524.606274088,-2100.7187874265,-473.7625373011,-284.1095386485,2124.0185315408,1118.4441626732,-3395.024381536,-566.4127951298,-3223.6519211931,2881.5510712381,-3534.3889228904,3554.6642274692
1943,3469.25,1040.951278617,2797.053430473,-351.8074871549,-3296.9207737045,1864.4284963818,-2325.423341855,-150.9865496517,-546.7417892962,3309.3981322962,2052.3614860884,-3451.3659693637,-1079.8189544621,-2925.6797405696,2574.5100201118,-3465.9628711693,3425.8968137317
1944,3357.5,-1066.5225597134,1961.1166150643,361.0755414543,-2988.0809297171,2144.8531565403,-2498.5112947947,154.9914100815,-787.5038185542,3183.604227856,2725.2207015431,-3338.0279662345,-1531.0710654509,-2583.1010794933,2242.8213392474,-3353.9206777741,3263.8388418797
1945,3841.5,-3127.5354909577,1171.0454008035,1197.7716926141,-3102.8771452627,2804.9444434421,-3111.1382327998,520.4293948918,-1191.0960701122,2230.615162416,3658.657529649,-3649.9952359383,-2264.7904254934,-2624.7683553417,2253.4287533471,-3806.0840104933,3652.1791305689
1946,3491.25,-3491.1251299118,-14.7640220715,1754.142088968,-2463.4611495255,2827.9477791736,-3025.9688639021,780.9881854956,-1339.4528405695,-29.5277801125,3491.2187823384,-3018.5778264293,-2473.9009129871,-2047.3245763111,1741.3612483328,-3402.7759280647,3224.0801246853
1947,3945.75,-3173.1963561247,-1234.5654175298,2648.1678124758,-2312.7533986876,3460.7768366633,-3606.7957530595,1223.666337767,-1794.9089586423,-2345.1584057323,3747.638095166,-2925.0897934024,-3196.8914243933,-1895.2484663797,1599.9898306589,-3751.2109719817,3513.8646662451
1948,3245.25,-978.6690682419,-1917.7619467478,2630.4261572123,-1467.656397938,3019.2220567183,-3087.7206843555,1278.7976455137,-1698.3426681756,-3094.1645750293,2617.9833227326,-1900.6593050712,-2894.4139752447,-1189.9351808925,998.8135651379,-2982.6706395995,2765.3715381399
1949,3038.75,960.6801820482,-2465.083007294,2779.1183939985,-933.6033885129,2944.4126536249,-2973.1336651976,1442.8354428804,-1788.4370642626,-2882.8970065404,1776.8982327783,-1229.0250260428,-2891.7790848295,-751.2893501665,628.0746542956,-2674.3648680141,2456.7243291977
1950,2734,2223.33942234,-2603.2062903924,2675.6090039807,-422.841579121,2712.9311038411,-2719.3630703607,1508.493133398,-1777.4570490849,-1591.0744209713,835.5076359084,-562.0253177728,-2701.1036631286,-338.7636725085,282.5252051737,-2280.1764112654,2077.3546732945
1951,2789,2788.9342780341,-2788.9835694601,2788.9926975339,4.7866886116,2788.9973711115,-2788.9981743829,1741.0507268821,-1973.812437206,19.14661345,-9.5733631235,6.3822490451,-2788.995892362,3.829351566,-3.1911266114,-2178.821554516,1970.427735983
1952,3133.75,2523.1441674705,-2977.1876072319,3063.8409555675,495.2915294738,3108.5225304104,-3116.2237288912,2167.7349662713,-2384.5868502729,1858.5296803279,-978.1324112024,658.2307053666,-3094.3618669011,396.8333912756,-330.9663638427,-2263.0320763314,2033.257144585
1953,2863.75,867.9677528224,-2311.5694576029,2613.7420451634,889.1869961627,2772.8907721447,-2800.5506462423,2158.2839421033,-2318.1321492487,2729.0467278082,-1690.4764728258,1170.2207415035,-2722.2069260722,715.6401527686,-598.3144159483,-1882.2525037197,1681.4658489305
1954,2805.75,-882.7782901751,-1642.4642880199,2266.6464191484,1277.4758092403,2607.4978082076,-2667.5715785172,2271.2908847933,-2393.3774059137,2663.2565691077,-2274.7624326684,1653.6465986001,-2498.0569687871,1035.947992272,-869.6521925386,-1647.2616000972,1464.2327872856
1955,3102.25,-2519.9285964818,-950.3963841641,2071.5103024426,1826.9630373556,2716.8495331505,-2832.8693844098,2664.3927828306,-2765.1086005017,1809.3962891344,-2953.0834352364,2309.2856318295,-2507.2217936666,1497.5592398033,-1264.4390508734,-1589.0142105406,1406.4599140864
1956,3467.75,-3467.7018006564,9.1417523971,1728.5943256494,2455.2995106886,2803.3177654899,-3001.6348075066,3125.4671802571,-3204.6571533231,-18.2834412621,-3467.7379501432,3006.2022087399,-2448.8353099611,2041.2495114976,-1736.513329884,-1502.2466400815,1324.9387126033
1957,2592.25,-2089.6003873808,807.1534731116,796.9771246759,2099.0597482175,1887.9098354742,-2095.9155533968,2427.5988471676,-2465.8718229885,-1534.0568058445,-2463.3845281125,2466.6956693608,-1521.0878462184,1776.3886161592,-1525.4173381503,-909.1335983951,799.5224919236
1958,2962.5,-902.3928374823,1746.8639713725,305.1128376576,2641.1636417677,1886.2515703293,-2200.0344351351,2856.2612493873,-2881.0461241307,-2821.7181675108,-2392.6705823244,2946.7460708885,-1341.8870546378,2284.3951635893,-1983.9996810029,-786.2429174553,689.9126615968
1959,3546,1110.32236641,2873.2663565435,-375.7321148176,3373.6270170473,1897.4561862212,-2370.8405598919,3489.404125019,-3502.6416746828,-3367.6847005992,-2078.08961413,3526.0376313781,-1092.134034745,2995.6261484656,-2636.8979956706,-631.0109763708,552.8266444149
1960,2848.75,2311.3637286274,2711.0767219342,-883.9222954382,2814.1212104412,1210.8771326662,-1672.9170516452,2837.4271660008,-2840.0796081047,-1665.224992752,-874.8940337472,2708.1465872673,-442.8299622259,2578.5951857719,-2305.8024852131,-253.739315323,222.0909321152
1961,4691,4690.9682399134,4690.9920599716,-2350.4813179232,4690.9980149925,1446.3149183095,-2343.0080172315,4690.9993518343,-4690.9995037481,17.261869073,8.6309491453,4059.6451290838,4.3154763988,4462.4717542048,-4063.9628973686,2.4659867478,-2.1577384277
1962,2236.25,1804.7358822018,2125.6357494963,-1498.2043585329,2208.4233071709,417.5546737112,-908.4202127129,2227.151003203,-2229.282472362,1320.5084089068,694.6126423865,1660.1800392045,351.682468776,2196.9210629793,-2043.4252566792,201.5253617589,-176.390818694
1963,3005.5,920.0489463027,2428.8101364776,-2433.2910771458,2857.6930481757,186.8914948765,-927.3008998266,2956.9668291482,-2968.3182701904,2861.2130620433,1770.285731441,1764.1215331951,930.9246437861,2999.6836198411,-2858.8709819054,537.938120342,-471.2927931276
1964,3162,-985.300427452,1855.0908398778,-2889.7974119106,2816.3843164325,-200.2629781654,-656.0124173896,3047.7229603145,-3074.3821500067,3004.567700629,2560.6409306659,1283.4776656082,1437.4363923852,3155.6518723675,-3093.2008839115,842.3946564243,-739.2011875804
1965,2253.25,-1826.0983991623,693.7144025417,-2204.3860397177,1822.1206793222,-423.2818106734,-234.630260736,2109.2990042886,-2142.7586172015,1320.0379536502,2143.8040699202,466.7094925086,1325.5232146162,2213.1353486068,-2241.0007146913,792.4602658855,-696.9369203225
1966,2179.5,-2179.4952528872,-2.2744595428,-2179.4994725429,1540.3348768087,-674.3677365222,0.7581533032,1963.3796028289,-2013.3777730476,-4.5489166086,2179.4988132215,-1.5163065148,1541.9431627939,2072.5463579708,-2179.4998681357,946.2350581095,-834.5838441989
1967,2882.25,-2328.7893091656,-893.0879229273,-2818.9121507208,1693.1128722921,-1228.1247704997,302.1220912852,2473.8904505451,-2567.8142104389,-1698.2654138903,2740.3939542375,-600.9154258454,2332.5380734682,2607.5035207234,-2866.371801504,1478.9290385958,-1309.0818321129
1968,2438,-750.0203811587,-1434.4501229975,-2226.744254961,1106.0412741241,-1306.9426599623,507.4650265807,1972.0865340967,-2078.5057885792,-2319.7658131472,1971.343918405,-992.7003691941,2172.6750101969,2058.0925352303,-2384.6012762719,1433.429001393,-1274.2282710891
1969,2516,780.1938911722,-2036.3231362175,-2034.9288102737,776.809818835,-1604.1974431216,777.9380159599,1894.4601932266,-2035.2775614383,-2391.9769004273,1477.7158336113,-1479.6353392367,2393.0780399648,1938.2483234824,-2392.7115253044,1655.6800947888,-1479.155586105
1970,3338.5,2702.4977419915,-3175.5212927674,-2233.2200857728,521.5862412372,-2434.0333375597,1358.3035363364,2306.8323738523,-2538.394957091,-1960.1245380156,1030.3624455407,-2481.5943057843,3297.5036077239,2284.9647615768,-3049.6874845099,2413.3185966521,-2168.4402901198
1971,3233.5,3233.4996046787,-3233.4999011697,-1616.2884098079,-0.3997298132,-2616.14440275,1616.9807786251,2015.8756856497,-2286.2884467679,1.5989191919,-0.7994596204,-2800.5595916389,3233.4999752924,1900.3448934233,-2800.1598903557,2528.1945079456,-2286.57109843
1972,2667,2157.3724595981,-2536.3952126737,-823.9995546023,-417.3265914121,-2337.1551289056,1567.6865419904,1469.186300264,-1732.03333985,1568.0028923977,-824.3714727754,-2536.5160622427,2634.1464492508,1284.7548028438,-2157.6023512367,2225.8437984541,-2028.0408057157
1973,3039,939.5147176397,-2458.7299797769,-317.8056376127,-938.9996249888,-2825.5588386828,2033.434246207,1440.141372298,-1786.3231985925,2890.1268303205,-1786.1041085409,-3022.3369396382,2890.2942245161,1118.8110873341,-2258.4654450207,2676.1004891065,-2458.5708104853
1974,1833.5,-565.7785388761,-1078.0462186221,191.372665997,-832.2032528645,-1775.8551679603,1362.4617486567,720.722451757,-958.0912237029,1744.0231922045,-1483.0841515284,-1823.4853310924,1633.7564065435,456.1366817399,-1226.9556770508,1685.9066989408,-1563.2605211747
1975,3075,-2486.3173545032,-951.3672095733,949.4672095592,-1806.9547352607,-3050.6925750638,2487.492378822,950.5529729791,-1396.2877907282,1809.37862613,-2924.1281491324,-2924.7456330375,2488.0794972667,385.8753846135,-1807.7628896796,2924.3929362452,-2739.7090001428
1976,2644.75,-2644.7484052518,-1.452189794,1321.5364892109,-1869.6071624197,-2644.7499362101,2290.1786166521,588.9167415329,-1012.4374103347,2.9043791502,-2644.7496013129,-2290.9045964824,1870.6340157093,0.5808759421,-1322.7941889537,2578.3482375432,-2443.2914383378
1977,3484.75,-2822.120943223,1074.4990939046,2330.5296913411,-2818.4963437961,-3457.3953166695,3183.1427791101,468.4682436394,-1077.4338560804,-2044.2886157101,-3314.9561474774,-2590.7747722018,2049.2830264529,-435.7753856881,-1418.1271488479,3453.117441849,-3314.0034472329
1978,2715.25,-843.5381089377,1594.0774310251,2195.7598938349,-2418.7704838503,-2630.1796144147,2582.1134380808,122.491632201,-634.4351843276,-2580.8963600404,-2198.0672661219,-1597.2542224475,1233.74710089,-674.3424637508,-839.8051889471,2712.4856428267,-2640.0898771419
1979,1897,582.4987046745,1533.5594287095,1732.4671140882,-1803.8529923835,-1764.0726863277,1855.4108864919,-84.5525709546,-297.2371725142,-1805.3543306101,-1116.6039936416,-772.7656168612,587.131486014,-697.6077388853,-395.0435954263,1895.1147360371,-1873.5685371173
1980,3485.5,2814.9606310611,3313.6275838998,3408.7593489081,-3442.2637314479,-3055.1632770642,3466.261744345,-466.6994801983,-274.4995574117,-2055.4091795982,-1081.0099376131,-727.3719483398,547.2939367092,-1677.7030727987,-365.7044840994,3454.1137568388,-3474.6741204005
1981,2392.5,2392.4913385324,2392.4978346321,2392.4990376142,-2392.499458658,-1936.3296863862,2392.4997594035,-531.4846692177,-0.8047238071,-6.437782809,-3.2188943178,-2.1459299048,1.6094475231,-1405.2343561199,-1.0729650603,2332.7195065817,-2392.4998646645
1982,2262,1833.9892940651,2152.3391674148,2213.0405219457,-2234.4166125291,-1649.8587001409,2249.7268346003,-698.0715211422,176.6261906671,1324.0571246191,695.7586567283,468.0765409913,-352.1738230674,-1547.4528327447,235.3150434618,2151.5901448394,-2255.0936097578
1983,2894,903.4497366577,2344.1223877912,2645.1046732553,-2753.1006329471,-1846.1887638067,2831.0924503097,-1136.1491882681,451.5322625522,2749.3662130268,1697.1523888727,1174.1623684665,-892.004991503,-2228.6370382801,600.1262682133,2661.6538133269,-2858.5581358221
1984,2634,-804.8108036474,1552.1089432113,2132.8310132215,-2348.0003147805,-1412.9892979803,2505.5770681447,-1246.9616283538,613.7276150167,2508.0342043785,2128.1244861153,1545.6351021637,-1193.6710274572,-2222.9298782898,812.4281848799,2320.138508239,-2561.5023744994
1985,2878.25,-2321.8270134733,894.8531893474,1928.750432882,-2330.2289860376,-1227.5640560118,2630.1852592491,-1584.2583776472,888.071360713,1701.0121639793,2735.6097733439,2136.4093311343,-1689.4839256798,-2603.3458377419,1168.9519085611,2403.0082095896,-2737.818898463
1986,2930,-2929.9731199877,6.2752862941,1468.621546434,-2074.0403309533,-907.8067235647,2538.4996682146,-1825.4230003222,1119.8128929216,12.5505438032,2929.9932799892,2535.360083568,-2069.6030309166,-2785.818901625,1463.1881063193,2291.8836946702,-2707.5670046827
1987,2349,-1906.7147981048,-720.7384890693,729.3070734682,-1382.8930343986,-442.2822482202,1901.4393647415,-1622.1895984188,1065.2195224924,-1371.9474037617,2235.696095263,2232.915625945,-1898.7911563445,-2306.9866520874,1379.249557626,1698.9119773496,-2093.5874399941
1988,2152.25,-675.1456365068,-1260.7731489702,228.4818177205,-979.4593030415,-137.2546953705,1600.6139532518,-1619.802273921,1123.4186168853,-2043.6140614132,1744.3139423097,2140.0878770441,-1916.4653756814,-2147.8689930019,1438.8241849356,1417.1875867014,-1835.7861187338
1989,2543.5,773.3006284301,-2053.8113835516,-261.4502202072,-789.1523921071,157.0477446933,1703.5835193648,-2056.6152100868,1493.6838923741,-2423.0968589946,1500.4169589797,2530.0268837215,-2417.9807178784,-2538.6469340747,1888.7020523493,1496.5714575788,-2058.7133553903
1990,3018.25,2431.9182448079,-2867.9234913864,-927.3712020583,-476.2997924748,562.2678835237,1776.343847892,-2589.7831854549,1958.6016968571,-1787.6259992153,940.663547744,2872.2492433793,-2980.4314402765,-2965.4152980077,2440.1712227949,1550.1148714967,-2296.4564998207
1991,2578.75,2578.7054794419,-2578.7388698365,-1284.9982157759,-3.7882653829,793.994739983,1291.5615381328,-2322.4334111264,1822.1117656642,-15.1529797789,7.5765225906,2235.7842355543,-2578.7472174576,-2453.4718085561,2231.999183628,1120.8276466005,-1824.790474528
1992,2633,2139.6879080787,-2506.6399085201,-1757.7767693704,407.8640219893,1118.124371779,1073.4204130367,-2464.2867188778,2000.8242014103,1534.4134566739,-805.881733888,1960.3341115896,-2601.2181645465,-2383.7967382379,2404.2582259142,927.3510485045,-1711.546527282
1993,2631,829.3038499892,-2133.5486201774,-2125.161229222,808.9482617304,1406.8653873167,815.7394822849,-2535.5339228097,2127.2639559553,2496.8812795952,-1539.5230707395,1551.0805104222,-2503.5502211546,-2223.2612941286,2501.3456572496,702.302446444,-1548.1954210285
1994,4049.5,-1225.0242917633,-2391.4132203056,-3695.6419447152,1832.2694144657,2576.9827802971,846.4479295491,-3983.7152878371,3450.9582179359,3859.7623935405,-3267.9646662331,1655.5001861861,-3611.2655735647,-3123.7173367724,3960.0474937256,726.954438361,-2118.8057079545
1995,2531.25,-2037.1336402475,-790.8008711501,-2474.674746665,1484.168430031,1842.7220184477,267.5874716838,-2520.8268467033,2254.3322626685,1502.4357205125,-2404.5499671848,532.1761557215,-2050.4805860577,-1735.3968206805,2517.0664487649,229.4745551037,-1151.1787923655
1996,3086.75,-3086.663906761,-11.5271051324,-3086.740434045,2178.5825977838,2494.520231088,3.8423763159,-3086.7482429871,2850.6810937221,23.0540495116,-3086.7284766152,7.684746678,-2186.7335061991,-1818.0743601934,3086.7476085103,3.2934656393,-1183.9099899889
1997,2632.25,-2141.5188051743,803.6563903747,-2576.1409481493,2126.5188214619,2304.6804494518,-271.7471726938,-2621.9142045296,2502.6255443327,-1530.5676298632,-2506.5666695123,-540.5903049155,-1551.34063457,-1271.687103188,2618.1851608763,-233.0364061383,-815.8464606489
1998,2203.5,-697.8834274912,1287.9491677709,-2015.4116701411,1961.301639369,2047.4447637445,-455.2211741803,-2168.5430012216,2142.09481727,-2090.0648247443,-1787.9035743682,-890.8019139288,-1004.3446268132,-814.4827741673,2155.9651974413,-390.939255963,-516.5675597879
1999,2953,888.8354812727,2381.6947932301,-2393.8919046598,2806.5417976941,2858.9846750793,-908.5830191952,-2847.5257296588,2916.1555967224,-2816.0576143308,-1745.7774519969,-1729.0143286868,-918.4400567243,-739.199315247,2809.7483690235,-782.1804260726,-465.0220808786
2000,2264.75,1820.5129220201,2150.825330268,-1520.3119768477,2236.0874568344,2246.3920030783,-918.1410602228,-2121.3301828071,2257.572992216,-1347.1545060824,-709.2552158268,-1678.6137303006,-359.1732839282,-287.7768771217,2070.2921426777,-793.1272394839,-180.1575624755
2001,3135.5,3135.3712735227,3135.4678182155,-1575.9447121353,3135.4919545436,3135.4948509071,-1563.6472756187,-2826.7465982064,3135.4979886353,-28.4117435016,-14.2060175569,-2710.6749185937,-7.1030270043,-5.6824233532,2717.7872336609,-1356.7844042178,-3.5515157804
2002,2111.5,1719.8056216745,2011.1939016621,-658.7649956093,2086.2727737954,2095.3429702591,-1238.4365066024,-1814.064197085,2105.1837463591,1225.030968448,643.0640247418,-2006.1059120993,325.4199799032,260.7107343128,1710.1775548505,-1080.5569577095,163.1981742102
2003,3120.75,993.1042132817,2533.6051918263,-336.2390736683,2970.3391190984,3024.2056115365,-2084.437870668,-2527.278825792,3082.9179658585,2958.5172948729,1822.0662157152,-3102.5834151298,957.1656492238,770.2343680019,2322.5415660059,-1830.8310405942,484.4557547258
2004,2674.25,-800.8707258911,1582.7009388678,270.6532712467,2385.8071011994,2488.4220430603,-1984.364832022,-2016.4171461159,2601.1399138534,2551.5131085124,2155.6137874413,-2660.5187218404,1208.1132142173,979.4737352842,1792.7379272873,-1756.6089363743,621.0347905381
2005,2876,-2309.1369567501,902.8560550793,879.3042138996,2331.0930927795,2523.1166573544,-2323.8174324993,-1990.5633146113,2736.3844516838,1714.4277514585,2730.609262382,-2738.2841524244,1684.452727979,1380.3109553216,1694.4758895931,-2075.8212087085,885.1983577612
2006,2389.75,-2389.6143714719,12.730244991,1187.517635334,1694.3032735416,1936.3370452328,-2067.4592295302,-1492.82672807,2209.0570737813,25.4601287315,2389.7160926274,-2073.8145838697,1685.3015990518,1400.5370076364,1198.5480368889,-1866.1118461818,911.5766052708
2007,2620.75,-2137.0059572418,-796.1696427453,1746.4889095195,1546.2485200115,1914.3769618785,-2392.2208689964,-1447.1899748718,2336.7350482372,-1517.0814418524,2496.8869542834,-1953.9977101894,2115.9976552119,1789.8299948121,1070.3316665587,-2184.942044799,1186.5917060388
2008,2813.5,-899.5760846837,-1640.8572356763,2269.9290207624,1284.3734693275,1798.283297697,-2674.1566474232,-1337.2240962036,2400.9755315239,-2665.8104054612,2285.4692695656,-1662.2889311732,2503.2313199718,2163.7835915876,874.4532434856,-2475.4017788094,1466.6624516308
2009,1968,586.3753492073,-1585.4038424389,1794.7463195494,613.5752757732,1058.3625025754,-1924.1991524883,-776.4735165259,1593.8224717204,-1878.6133050317,1165.9839863309,-807.4092199523,1869.9062492435,1659.1843819004,412.8942014166,-1808.3453426085,1154.449621525
2010,2563,2055.3936969574,-2432.790891682,2504.8537302804,408.4886440399,1096.8016896978,-2548.4219735661,-796.1630772185,1951.4001889252,-1531.1191170213,806.5342381754,-542.8414040036,2530.2383341675,2316.4617530786,272.9733405403,-2436.2047029086,1661.627606494
2011,3204.5,3204.259693196,-3204.4399227359,3204.4732989474,9.8111567354,997.7067639183,-3204.4933247299,-718.5330590529,2269.3897970334,-39.2437072575,19.6222215018,-13.0815264178,3204.4849806488,3045.2260118474,6.540776834,-3122.9041760912,2262.4522534455
,,-2.5601353282,-59.6144011282,-157.364791845,479.7442412627,135.8645639398,-485.1817298585,92.0192145246,-114.7496257114,74.660707183,-65.1449055234,-265.0089620077,28.2590385226,-456.159584794,670.7598343967,-183.5040736008,-592.0097382807
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
u,R^2,,,,,,,,,,,,,,,,
10,5580.7754899585,,,,,,,,,,,,,,,,
20,7797.7355375294,,,,,,,,,,,,,,,,
30,94993.4276568322,,,,,,,,,,,,,,,,
40,230953.110282933,,,,,,,,,,,,,,,,
50,226540.74653398,,,,,,,,,,,,,,,,
60,685320.066428381,,,,,,,,,,,,,,,,
70,42141.2808698183,,,,,,,,,,,,,,,,
80,363643.006820037,,,,,,,,,,,,,,,,
